Topic,Words,Probabilities
Topic -1,"ecology, species, populations, habitat, traits, environmental, diversity, growth, variation, population","0.5654994, 0.47805855, 0.47069186, 0.46820596, 0.32805485, 0.28950414, 0.26863322, 0.26712382, 0.24022043, 0.22699492"
Topic 0,"ecological, phylogenetic, species, diversity, traits, niche, trait, communities, variation, environmental","0.5015478, 0.4765028, 0.45473066, 0.36573038, 0.36099225, 0.33673882, 0.31879854, 0.2609688, 0.22942805, 0.21417692"
Topic 1,"haplotypes, genetic, haplotype, alleles, genome, gene, populations, dna, sequencing, species","0.49944085, 0.46723184, 0.464154, 0.39750814, 0.38523, 0.38178363, 0.38003108, 0.32220575, 0.2807355, 0.27649695"
Topic 2,"ecology, ecological, scientifiques, biology, evolution, scientific, cite, hal, doi, research","0.47130954, 0.46527588, 0.31681442, 0.22863987, 0.21527249, 0.21309125, 0.19908577, 0.19324431, 0.1867606, 0.1838191"
Topic 3,"forests, forest, trees, vegetation, ecology, tree, treeline, species, beech, biomass","0.50260234, 0.47372407, 0.45776755, 0.44295835, 0.38363338, 0.37433112, 0.33217418, 0.31871113, 0.28619152, 0.28179094"
Topic 4,"breeding, reproduction, mortality, breeders, survival, recapture, probabilities, models, reproductive, selection","0.4429657, 0.3697063, 0.361623, 0.35546738, 0.3471861, 0.33682784, 0.31176537, 0.29869628, 0.2897675, 0.27218115"
Topic 5,"litter, litters, ecosystem, litterbags, decomposers, soil, decomposer, biomass, nutrient, leaves","0.51679665, 0.47976035, 0.37955925, 0.3623393, 0.34648222, 0.32182348, 0.31924462, 0.31565288, 0.3092183, 0.3064245"
Topic 6,"lizards, thermoregulation, lizard, reptiles, warming, climate, temperatures, temperature, dehydration, predator","0.4411576, 0.4213978, 0.40265778, 0.38562125, 0.36356086, 0.35467505, 0.35157484, 0.3456199, 0.30106354, 0.29672682"
Topic 7,"deer, habitat, hunting, animals, diurnality, animal, abundance, lynx, lion, lions","0.45817858, 0.4422529, 0.4001489, 0.38318434, 0.31008196, 0.30951667, 0.2798788, 0.25657237, 0.23376329, 0.21142057"
Topic 8,"ecological, resilience, ecosystem, conservation, socialecological, living, nature, heritage, cultural, indigenous","0.5075235, 0.48219654, 0.4364652, 0.43536812, 0.3887834, 0.3763317, 0.3756742, 0.37513238, 0.36941206, 0.3229984"
Topic 9,"vegetation, landscape, landscapes, crops, habitats, biodiversity, herbicides, hedgerows, crop, herbicide","0.52122355, 0.47437733, 0.4620204, 0.4314129, 0.43039465, 0.42604238, 0.37254733, 0.36612886, 0.35814977, 0.33375084"
Topic 10,"species, ecology, biodiversity, zoology, ecosystem, ecological, evolutionary, forest, biological, conservation","0.41255867, 0.36556333, 0.35956967, 0.35098523, 0.34530362, 0.34180433, 0.33326304, 0.29958093, 0.28994283, 0.24507098"
Topic 11,"ecosystem, nutrient, biomasses, biomass, nutrients, feeding, trophic, enrichment, prey, stability","0.5442791, 0.38545185, 0.36801422, 0.35772234, 0.3431431, 0.31277895, 0.31194854, 0.28269947, 0.27231336, 0.2654964"
Topic 12,"coral, corals, corallioides, algae, reef, reefs, coralline, symbiodiniaceae, photosynthesis, algal","0.5446612, 0.5320116, 0.53020453, 0.45581788, 0.44255483, 0.42607713, 0.39963204, 0.38010156, 0.35503116, 0.3296504"
Topic 13,"dispersal, evolutionary, phenotypic, populations, evolution, species, dispersers, genotypes, traits, genotype","0.73994356, 0.47102243, 0.41668776, 0.41153282, 0.39147148, 0.38843155, 0.37783724, 0.36299586, 0.34400445, 0.32840234"
Topic 14,"species, invasive, invasions, climate, niche, habitat, climatic, populations, invasion, plants","0.48542064, 0.42224568, 0.40889007, 0.39130867, 0.3892042, 0.38670716, 0.3606676, 0.3327002, 0.28712863, 0.27765715"
Topic 15,"roots, root, soil, plants, biomass, plant, nutrient, tree, nutrients, morphological","0.5599557, 0.4426059, 0.37985775, 0.32991293, 0.272247, 0.26780292, 0.25266242, 0.23831774, 0.23803699, 0.23516414"
Topic 16,"species, conspicuousness, mimicry, prey, predators, evolution, predation, predator, colour, phenotypes","0.50506175, 0.47745618, 0.45406395, 0.44122344, 0.43449754, 0.41504642, 0.40745956, 0.4016233, 0.33999467, 0.33994985"
Topic 17,"seals, foraging, dives, diving, dive, prey, seal, penguins, sea, antarctic","0.5453069, 0.4362766, 0.42766213, 0.41636777, 0.3951447, 0.3878801, 0.36580887, 0.33741283, 0.29641953, 0.29138404"
