Topic,Words,Probabilities
Topic 21,"egg, larval, larvae, silk, leiria, temperature, parasitoid, gut, microbiota, parasitoids","0.026858954799896743, 0.02377906345973681, 0.023299859989968082, 0.017740124696863816, 0.011757547801591665, 0.01117983960803367, 0.011111589964443643, 0.011104162975640278, 0.008708331936462371, 0.0073892414293680155"
Topic 22,"nest, tits, clutch, blue, laying, nests, breeding, boxes, cavities, temperature","0.04625892846490976, 0.04240688827033368, 0.03429504164707529, 0.0312805846626534, 0.027089712162342863, 0.015067769075392975, 0.012579485185065919, 0.01199390516797816, 0.011069017390409606, 0.008969836638730959"
Topic 23,"germination, elevation, excl, seeds, dormancy, elevational, traits, plant, alpine, vegetative","0.021991554447038427, 0.019402493848661852, 0.019048249162268327, 0.018501839157719455, 0.016923403500867365, 0.01487204716665558, 0.01455111716158691, 0.013656803667562572, 0.008945755553491993, 0.00814376094389862"
Topic 24,"orcid, data, manuscript, statement, authors, conflict, research, dryad, availability, contributed","0.03442035774158316, 0.0331052009791296, 0.024381332025401038, 0.0242814451030213, 0.021049564347012197, 0.01835633026157225, 0.015759277995402072, 0.014718684894459022, 0.014253830116119266, 0.010975606899641503"
Topic 25,"oak, herbivory, mildew, insect, forest, herbivores, leaves, herbivore, phylogenetic, castagneyrol","0.021851979921423074, 0.019075927456474177, 0.013935030827640037, 0.013792078611336182, 0.01211201080074426, 0.011815344924408173, 0.010828541778429096, 0.010376224186168228, 0.010142344517634263, 0.009806706679296034"
Topic 26,"fungal, soil, plant, fungi, ecm, communities, roots, enzymatic, pinnatum, rhizosphere","0.05043655955139098, 0.029721449864004604, 0.0235616408651212, 0.022924958421072596, 0.02108570724679619, 0.017172309684331484, 0.014285931874903391, 0.011093758541208587, 0.010882007296912877, 0.009387135181776623"
Topic 27,"observers, detection, counts, sampling, counting, conservation, trends, species, population, habitat","0.022317538759203885, 0.016438473917185528, 0.013886152598472404, 0.011308595447373452, 0.011204628026569846, 0.010950406024555126, 0.010324403898229504, 0.010252044605937052, 0.009326168217412237, 0.009106567755162385"
Topic 28,"pollen, pollinator, floral, flowering, pollinators, flower, plants, urbanization, flowers, pollination","0.03023921383467131, 0.027262778193897313, 0.023289952353813582, 0.02195251521454969, 0.019844660770470805, 0.016517829965789668, 0.013030962301685035, 0.011250613419849575, 0.011043673395693569, 0.009530423808973733"
Topic 29,"sphagnum, microbial, phototrophic, peat, peatlands, plant, metabolites, mosses, amoebae, vascular","0.050430387507069394, 0.02809162735206175, 0.020115999297752034, 0.019083313992543878, 0.01673646286891322, 0.010708988191133853, 0.010430065077691914, 0.009433765440446773, 0.009392495208409192, 0.009293365328514484"
Topic 30,"na, betweenness, strength, 003, 001, al, et, 0002, 07, m4","0.023587416299894748, 0.017460678051972524, 0.013249245722877947, 0.01306269865363219, 0.010610103129608212, 0.010347322286269108, 0.010065818680813216, 0.00885661007841875, 0.008067281232800231, 0.007972639073331034"
Topic 31,"m7, bm, lc, m1, uom, 7b, uvbo, mv, 1o, vo","0.11976036449200542, 0.10431312788310103, 0.07567515192078114, 0.07018716527010742, 0.04262774743509881, 0.041008810144881766, 0.03441868739498541, 0.03290962729628916, 0.029187656961334348, 0.02909768124365021"
Topic 32,"pike, lakes, fish, perch, trophic, trout, zooplankton, daphnia, roach, copepods","0.0293343090019404, 0.02819994627262581, 0.022107133857143576, 0.02169606306128975, 0.02055812638637568, 0.015978237889395272, 0.015573927388103849, 0.01123727333137369, 0.00931846871456909, 0.00888159437588444"
Topic 33,"bat, bats, solar, wind, foraging, ebola, pipistrellus, hedgerows, roosts, turbines","0.03602253144320395, 0.027724637457353072, 0.024663292089985512, 0.01549875755241345, 0.015276174722980032, 0.014506379669965168, 0.013316281759261389, 0.012250818167617876, 0.011014630534990631, 0.010048525860580512"
Topic 34,"equal, writing, editing, lead, draft, methodology, supervision, validation, resources, writingreview","0.257769177250953, 0.12175668555167657, 0.11173550122485802, 0.06735308836741591, 0.060490728137865844, 0.05884341723177661, 0.04230571234116481, 0.04012382985611568, 0.032880367671347215, 0.02856485803733553"
Topic 35,"aphid, aphids, parasitoid, diapause, caterpillars, plants, persicae, brassicae, virus, venom","0.05525495475501282, 0.03621648028976908, 0.02121764671758945, 0.01827630318788596, 0.014061031793986377, 0.01364532076498496, 0.012993940575296247, 0.01296136271227246, 0.01078549210015535, 0.010284377592633866"
Topic 36,"immune, immunity, age, antibody, roe, deer, antibodies, vaccination, reproductive, haptoglobin","0.049541930445976524, 0.01772437594894196, 0.016462233063627315, 0.013115481500077868, 0.013021098419791132, 0.012885278766038823, 0.012567447573593194, 0.012443465097438133, 0.010420662415043446, 0.009785527175546937"
Topic 37,"mass, birth, growth, date, antler, females, yearling, deer, roe, gompertz","0.055796784424986576, 0.03921705803376598, 0.026234851390636017, 0.025737519945310865, 0.023384240855508737, 0.019004701028402758, 0.014328371981703687, 0.013756500828433507, 0.013280592920915456, 0.011450330123490218"
Topic 38,"fisheries, fishing, catch, fish, spawning, marine, tuna, production, mpas, gulf","0.025329468381087582, 0.023962278243273107, 0.022199167952489263, 0.014088683601534124, 0.012209466181390884, 0.011976624928491645, 0.010808257611759175, 0.008683700668529642, 0.008344620887987509, 0.008298098503786485"
Topic 39,"mpas, marine, climate, california, sdgs, areas, ecosystem, impacts, plans, al","0.0500072565359804, 0.04388485268359365, 0.02125290049856401, 0.015465262344406611, 0.015038156712743557, 0.014783320301851584, 0.01457203463444537, 0.012571851078888033, 0.010033191042057127, 0.009448012051709911"
