Topic ID	Words	Probabilities
0	"""psi"", ""breeding"", ""nest"", ""offspring"", ""egg"""	0.035, 0.023, 0.017, 0.015, 0.012
1	"""bee"", ""pollinator"", ""crop"", ""landscape"", ""wild"""	0.049, 0.024, 0.023, 0.017, 0.017
2	"""wasp"", ""pollinator"", ""ficus"", ""host"", ""sp"""	0.041, 0.035, 0.031, 0.029, 0.016
3	"""perturbation"", ""nutrient"", ""si"", ""sensitivity"", ""direction"""	0.011, 0.01, 0.007, 0.006, 0.005
4	"""library"", ""oa"", ""rule"", ""httpsonlinelibrarywileycomtermsandconditions"", ""applicable"""	0.083, 0.042, 0.042, 0.041, 0.041
5	"""heritage"", ""cultural"", ""service"", ""drought"", ""living"""	0.056, 0.028, 0.011, 0.011, 0.01
6	"""host"", ""parasite"", ""infection"", ""infected"", ""disease"""	0.065, 0.052, 0.04, 0.022, 0.022
7	"""bird"", ""native"", ""endemic"", ""bulbul"", ""climatic"""	0.017, 0.014, 0.011, 0.011, 0.011
8	"""forecast"", ""demographic"", ""horizon"", ""stochastic"", ""feeding"""	0.028, 0.028, 0.014, 0.012, 0.012
9	"""niche"", ""leaf"", ""landscape"", ""female"", ""dispersal"""	0.0, 0.0, 0.0, 0.0, 0.0
10	"""connectivity"", ""landscape"", ""cell"", ""fragmentation"", ""patch"""	0.036, 0.019, 0.017, 0.011, 0.01
11	"""alien"", ""cost"", ""bird"", ""evans"", ""monetary"""	0.047, 0.036, 0.028, 0.015, 0.015
12	"""fish"", ""stress"", ""copepod"", ""bay"", ""h"""	0.013, 0.013, 0.009, 0.009, 0.009
13	"""extinction"", ""speciation"", ""trophic"", ""equilibrium"", ""sapiens"""	0.026, 0.012, 0.011, 0.009, 0.009
14	"""fire"", ""manatee"", ""page"", ""occurrence"", ""rainfall"""	0.067, 0.008, 0.008, 0.007, 0.006
15	"""patch"", ""pollen"", ""snake"", ""prey"", ""teeth"""	0.11, 0.048, 0.021, 0.02, 0.017
16	"""http"", ""org"", ""age"", ""body"", ""springer"""	0.446, 0.141, 0.015, 0.014, 0.012
17	"""gg"", ""silk"", ""treatment"", ""grazing"", ""ggg"""	0.033, 0.01, 0.01, 0.009, 0.009
18	"""invasion"", ""invasive"", ""native"", ""drosophila"", ""whale"""	0.036, 0.024, 0.011, 0.01, 0.01
19	"""ant"", ""nest"", ""dejean"", ""cockle"", ""leaf"""	0.043, 0.012, 0.009, 0.008, 0.007
20	"""copy"", ""confidential"", ""epigenetic"", ""crop"", ""page"""	0.041, 0.033, 0.021, 0.02, 0.018
21	"""riparian"", ""vegetation"", ""cockle"", ""mountain"", ""restoration"""	0.014, 0.013, 0.012, 0.012, 0.011
22	"""social"", ""network"", ""colony"", ""association"", ""behavior"""	0.059, 0.019, 0.016, 0.015, 0.014
23	"""mediterranean"", ""refugia"", ""glacial"", ""basin"", ""island"""	0.047, 0.026, 0.021, 0.016, 0.016
24	"""nest"", ""box"", ""cavity"", ""pitcher"", ""fish"""	0.077, 0.014, 0.009, 0.009, 0.007
25	"""soil"", ""leaf"", ""http"", ""litter"", ""dispersal"""	0.0, 0.0, 0.0, 0.0, 0.0
26	"""neutral"", ""plot"", ""similarity"", ""tannin"", ""migration"""	0.017, 0.012, 0.007, 0.007, 0.006
27	"""litter"", ""leaf"", ""fungal"", ""decomposition"", ""treatment"""	0.027, 0.02, 0.019, 0.017, 0.01
28	"""tabaci"", ""marina"", ""whitefly"", ""seagrass"", ""ssa"""	0.015, 0.014, 0.012, 0.012, 0.011
29	"""colony"", ""ground"", ""pocillopora"", ""gélin"", ""trajectory"""	0.235, 0.013, 0.011, 0.01, 0.009
30	"""network"", ""mutualistic"", ""nestedness"", ""antagonistic"", ""stability"""	0.175, 0.039, 0.024, 0.017, 0.014
31	"""litter"", ""richness"", ""decomposition"", ""dispersal"", ""leaf"""	0.0, 0.0, 0.0, 0.0, 0.0
32	"""breeding"", ""migration"", ""date"", ""bird"", ""season"""	0.016, 0.015, 0.012, 0.011, 0.01
33	"""deer"", ""ungulate"", ""ibex"", ""hunting"", ""home"""	0.173, 0.074, 0.027, 0.014, 0.014
34	"""genetic"", ""molecular"", ""gene"", ""sea"", ""differentiation"""	0.036, 0.014, 0.011, 0.01, 0.01
35	"""na"", ""aphid"", ""host"", ""predator"", ""virus"""	0.091, 0.078, 0.028, 0.011, 0.01
36	"""landscape"", ""body"", ""litter"", ""host"", ""bee"""	0.0, 0.0, 0.0, 0.0, 0.0
37	"""elevation"", ""alpine"", ""mountain"", ""warming"", ""elevational"""	0.087, 0.06, 0.03, 0.028, 0.027
