Topic	Words	Probabilities
Topic 22	('phenotypic', 'habitats', 'populations', 'habitat', 'urbanization', 'evolutionary', 'urbanized', 'traits', 'urbanisation', 'breeding')	(0.5103588, 0.4979034, 0.49249935, 0.45124716, 0.42346707, 0.4059453, 0.3889277, 0.3881986, 0.36709043, 0.35917994)
Topic 23	('species', 'mammals', 'mammal', 'rodents', 'habitat', 'rodent', 'rodentborne', 'rattus', 'musculus', 'rat')	(0.51635444, 0.51338315, 0.46490413, 0.42652258, 0.41555607, 0.41531777, 0.38876063, 0.34538513, 0.33271834, 0.3201177)
Topic 24	('bats', 'habitats', 'habitat', 'bat', 'turbines', 'foraging', 'renewable', 'wind', 'hedgerows', 'crickets')	(0.47263885, 0.43407616, 0.38550222, 0.38069558, 0.332218, 0.33083194, 0.3275473, 0.32441983, 0.30737007, 0.27902538)
Topic 25	('germination', 'seedling', 'seedlings', 'seed', 'germinated', 'evolutionary', 'dormancy', 'seeds', 'evolution', 'dispersal')	(0.5235802, 0.42903244, 0.42867127, 0.4207623, 0.4184779, 0.41175306, 0.40832785, 0.40608245, 0.35961685, 0.35822904)
Topic 26	('microbial', 'biochemicals', 'peatlands', 'biomass', 'peat', 'bacteria', 'biochemical', 'sphagnum', 'bacterial', 'metabolites')	(0.50078714, 0.33660603, 0.33227557, 0.33142114, 0.3286013, 0.31740332, 0.31710368, 0.29421645, 0.29237056, 0.2898109)
Topic 27	('lizards', 'climatic', 'lizard', 'reptiles', 'temperatures', 'climates', 'temperature', 'thermoregulation', 'climate', 'thermoregulatory')	(0.5080662, 0.48924363, 0.47480458, 0.46076342, 0.45307785, 0.4512871, 0.43757662, 0.43459946, 0.4297914, 0.41920155)
Topic 28	('populations', 'demography', 'reproduction', 'correlation', 'correlations', 'demographic', 'population', 'stochasticity', 'survival', 'sparrow')	(0.4606263, 0.3679024, 0.359551, 0.34792408, 0.34577146, 0.31999853, 0.31136158, 0.27001405, 0.26633698, 0.25962123)
Topic 29	('biodiversity', 'taxonomic', 'species', 'reefs', 'phylogenetic', 'reef', 'coral', 'fishes', 'ocean', 'diversity')	(0.52217543, 0.4864365, 0.43344688, 0.41543275, 0.40366527, 0.39212507, 0.3614583, 0.33800375, 0.30643928, 0.28888294)
Topic 30	('polymerase', 'gdna', 'dna', 'pcr', 'primer', 'pcrs', 'rna', 'primers', 'gene', 'qpcr')	(0.38002312, 0.36378378, 0.35557476, 0.3526497, 0.286413, 0.28518108, 0.25755572, 0.25021368, 0.24854386, 0.23411389)
Topic 31	('forests', 'trees', 'ecology', 'forest', 'tree', 'beech', 'ecologie', 'pine', 'tropical', 'scientifiques')	(0.5241908, 0.49576974, 0.4780845, 0.47192624, 0.40464467, 0.35247463, 0.3480044, 0.3275548, 0.31271583, 0.2940553)
Topic 32	('pollinators', 'pollinating', 'wasps', 'sycophila', 'pollinator', 'figs', 'species', 'wasp', 'fig', 'parasitoids')	(0.4792332, 0.47613013, 0.47093952, 0.45080882, 0.43488145, 0.42866737, 0.4036201, 0.40232047, 0.40082467, 0.37105823)
Topic 33	('genome', 'sequencing', 'transcriptome', 'rna', 'nucleotides', 'taxonomic', 'transcripts', 'dna', 'gene', 'genes')	(0.49242854, 0.48248535, 0.47990856, 0.40410683, 0.40068376, 0.37542254, 0.35446268, 0.32838124, 0.3036937, 0.29612106)
Topic 34	('speciation', 'species', 'ecotypes', 'genetic', 'reticulata', 'ecotype', 'darwiniana', 'lineages', 'populations', 'surinamensis')	(0.4938588, 0.39523378, 0.39364845, 0.38945687, 0.38718474, 0.38124233, 0.37177795, 0.36762878, 0.36406505, 0.3390902)
Topic 35	('dispersal', 'dispersalrelated', 'phenotypic', 'evolutionary', 'genotypes', 'genotype', 'traits', 'phenotype', 'evolution', 'dispersers')	(0.60754955, 0.54607666, 0.45620164, 0.40116313, 0.39181012, 0.35820702, 0.33718514, 0.32274115, 0.32140267, 0.32107872)
Topic 36	('elevations', 'elevational', 'elevation', 'traits', 'trait', 'plants', 'flowering', 'species', 'alpine', 'herbarium')	(0.49234742, 0.48697484, 0.48208034, 0.40340847, 0.36515537, 0.35061002, 0.35059455, 0.34753644, 0.3315565, 0.3290509)
Topic 37	('owls', 'owl', 'predation', 'breeding', 'birds', 'broods', 'brood', 'reproduction', 'prey', 'reproductive')	(0.5449121, 0.4658103, 0.4553814, 0.40448838, 0.3860867, 0.38217163, 0.36458504, 0.3442176, 0.3364863, 0.3079638)
Topic 38	('metanetworks', 'metanetwork', 'ecological', 'nodes', 'networks', 'abundances', 'species', 'communities', 'graph', 'trophic')	(0.4656687, 0.4586028, 0.4427493, 0.4414183, 0.41856945, 0.40484577, 0.4046271, 0.38108072, 0.36350465, 0.3614523)
Topic 39	('epigenetic', 'epigenetics', 'methylation', 'phenotypic', 'genes', 'methylated', 'genetic', 'genomic', 'phenotypes', 'gene')	(0.54374313, 0.5389728, 0.43830538, 0.4145643, 0.4136535, 0.37577584, 0.37393704, 0.36884332, 0.3662625, 0.34453726)
Topic 40	('drought', 'droughts', 'climate', 'climatic', 'vegetation', 'precipitation', 'climateinduced', 'forests', 'forestgrassland', 'forest')	(0.58439726, 0.56407934, 0.42759207, 0.42179304, 0.4065529, 0.402435, 0.3576098, 0.30555493, 0.2760631, 0.23018505)
Topic 41	('seabirds', 'seabird', 'birds', 'ecology', 'bird', 'breeding', 'hal', 'scientifiques', 'scientific', 'cite')	(0.48708934, 0.43719858, 0.42960948, 0.37739062, 0.37618965, 0.2694435, 0.26775092, 0.23304126, 0.2237424, 0.2206699)
Topic 42	('phylogenetic', 'clades', 'clade', 'traits', 'phylogeny', 'lineage', 'trait', 'evolutionary', 'diversification', 'subspecies')	(0.52153754, 0.50008786, 0.4667232, 0.41996264, 0.4150191, 0.40099654, 0.39972937, 0.39076465, 0.38763666, 0.37872344)
Topic 43	('parasitoids', 'parasitoid', 'eggs', 'hostparasitoid', 'egg', 'larvae', 'phenotypic', 'parasitism', 'hymenoptera', 'parasitised')	(0.5426384, 0.5221338, 0.44193453, 0.4258256, 0.4172765, 0.39515024, 0.38845602, 0.3295669, 0.31722644, 0.31613293)
Topic 44	('ecosystem', 'ecosystems', 'ecology', 'biomasses', 'herbivoryonly', 'biomass', 'trophic', 'foodweb', 'stability', 'prey')	(0.5654007, 0.54835236, 0.5186703, 0.4222663, 0.41497907, 0.3880954, 0.38647228, 0.37372142, 0.33784717, 0.33068144)
Topic 45	('parasitoids', 'parasitoid', 'extinction', 'hostparasitoid', 'parasitism', 'populations', 'parasitized', 'hymenoptera', 'diploid', 'wasps')	(0.5456198, 0.52147627, 0.5142046, 0.45396918, 0.41373724, 0.4033234, 0.3821835, 0.31386846, 0.31086877, 0.30960315)
Topic 46	('breeding', 'climate', 'tits', 'reproductive', 'birds', 'tit', 'warming', 'habitat', 'blue', 'temperatures')	(0.39696756, 0.30317044, 0.294434, 0.2845859, 0.2809181, 0.27956736, 0.27648142, 0.27423298, 0.2683329, 0.25367936)
Topic 47	('ecological', 'conservation', 'resilience', 'sustainability', 'livelihoods', 'wildlife', 'governance', 'stakeholders', 'socioeconomic', 'iucn')	(0.5359249, 0.53308046, 0.52089655, 0.49477038, 0.3906998, 0.33664685, 0.31179062, 0.30668232, 0.30219337, 0.30183345)
