Topic,Words,Probabilities
Topic -1,"of, et, al, species, we, were, at, be, between, each","0.013371960480496712, 0.009702416949339597, 0.009680222785074724, 0.008258205641425225, 0.0077197266308225675, 0.00715647842932918, 0.0064885845202632434, 0.006276870370859647, 0.00578176744801472, 0.004665408616254961"
Topic 0,"genetic, from, al, populations, loci, dna, samples, species, individuals, sequences","0.014264495813263766, 0.01055001971860267, 0.009786009538178552, 0.009562517574353245, 0.009124586003470565, 0.007185467000038396, 0.007092666711340553, 0.00669073676565028, 0.0062749574266409815, 0.006142052517318694"
Topic 1,"survival, breeding, age, of, probability, females, population, nest, models, mass","0.016925564543967375, 0.014637511106345182, 0.014152307778530718, 0.013473656101056422, 0.011174253745103866, 0.010025869215373028, 0.009874757146481743, 0.00976357440225229, 0.008248060442064406, 0.007643779523086083"
Topic 2,"species, trait, functional, diversity, et, traits, plant, richness, seed, communities","0.018301379605256612, 0.010755601551905903, 0.010711569797180156, 0.010661487904228896, 0.009653687610646694, 0.009449474627612055, 0.007913380546888598, 0.007176940647603775, 0.0070108244227415776, 0.0069892854135454804"
Topic 3,"forest, tree, trees, forests, species, climate, growth, leaf, canopy, model","0.02160919023575751, 0.018667909904723192, 0.011767817271817332, 0.010943890962441109, 0.009392286019134027, 0.0076194448156164185, 0.007512309143985127, 0.007290308537363165, 0.006992366521989431, 0.006973071802762154"
Topic 4,"research, des, recherche, archive, ecology, publics, trangers, tablissements, scientifiques, laboratoires","0.02691371748161157, 0.02208687056426344, 0.021706962761336244, 0.021240813335732186, 0.01535786023520336, 0.012312787268050535, 0.012312787268050535, 0.012312787268050535, 0.012306995240160117, 0.012295452805875478"
Topic 5,"litter, decomposition, leaf, soil, microbial, fungal, streams, detritivore, species, litters","0.05764620624814947, 0.030443579914873585, 0.01784125189194851, 0.015067424227297725, 0.011720310291039582, 0.008857933505201842, 0.007984008166637116, 0.007768646960631586, 0.007334803208723194, 0.007320237278672878"
Topic 6,"movement, data, deer, behavioural, home, roe, lynx, camera, animal, hunting","0.013864180489082846, 0.010726984609214337, 0.01030637353529188, 0.01014139792059908, 0.009416483483302126, 0.00903513018882019, 0.00883691923341656, 0.008372521667632693, 0.00704124260353735, 0.006668419877274882"
Topic 7,"nutrient, webs, biomass, trophic, metabolic, species, stability, consumer, prey, persistence","0.022773966946663487, 0.021446689311795046, 0.019195962283400717, 0.014111776702155448, 0.013681319783396895, 0.012167107894736908, 0.011542458346475375, 0.009542697009480842, 0.009522686337542677, 0.008809704852115073"
Topic 8,"heritage, people, being, nature, cultural, resilience, approach, social, knowledge, pas","0.016604848662785398, 0.01576698945408349, 0.015259967344579153, 0.012901680178209522, 0.011477963618134393, 0.010694606468226142, 0.00938079792185806, 0.009245521554606674, 0.008929194780755437, 0.008055912083619212"
Topic 9,"mimicry, wing, species, microhabitat, mating, santomea, butterflies, yakuba, phenotype, predators","0.027757884605692514, 0.0184030254707979, 0.014538612995902275, 0.012296474691915202, 0.010892318553560947, 0.01074003469944397, 0.010543256448262307, 0.010383390970515619, 0.009307700382590505, 0.007964858255548825"
Topic 10,"networks, species, interactions, mutualistic, et, plant, pollinator, associations, nestedness, facilitation","0.032583596827979185, 0.018503217859389753, 0.01844379079903418, 0.012176327783426, 0.01139265608550227, 0.009074140659895698, 0.00866349310999026, 0.008650369089002668, 0.008396517495943657, 0.008323441537169112"
Topic 11,"sciences, ecology, biology, cnrs, environmental, montpellier, email, authors, evolution, univ","0.02240195886223408, 0.018067096255480062, 0.014861321423278357, 0.00857756753878348, 0.008218790320297674, 0.007860022451438919, 0.007691900349137377, 0.007439794251648429, 0.007385740151650307, 0.007150560911618474"
Topic 12,"lizards, temperature, thermal, body, thermoregulation, temperatures, lizard, ectotherms, females, behavioral","0.019722038800896603, 0.018312918804263664, 0.017673523153287244, 0.016873478404776526, 0.015798981798391433, 0.014746221468267267, 0.014612721394926722, 0.010510484275672645, 0.01045159693712083, 0.008531592109630538"
Topic 13,"coral, corals, ph, pco2, calcification, symbiodinium, algae, photosynthesis, irradiance, reef","0.03178866945535489, 0.01804512689833774, 0.014509289522511723, 0.013599663864906077, 0.01199144912237198, 0.01195731778802191, 0.011620713611031504, 0.010884931165851257, 0.009078537420743752, 0.008817149056010519"
Topic 14,"parasite, parasites, virulence, infected, hosts, transmission, dispersal, infections, paramecium, prevalence","0.028711853530924893, 0.026276737676481938, 0.01962584175301696, 0.019520603403477513, 0.017478720634357778, 0.015145437409455665, 0.013387171707424287, 0.013283366346474495, 0.010551410830189754, 0.009414695250618749"
Topic 15,"bee, bees, pollen, honey, floral, landscape, crops, nesting, abundance, urban","0.04839597695108, 0.03936995664786418, 0.023891376203436458, 0.020882677589545595, 0.013011776872213528, 0.010457351284264232, 0.009181175642415582, 0.009058324298353904, 0.008541582099218861, 0.008312154854345579"
