Topic ID	Words	Probabilities
0	"""soil"", ""biomass"", ""web"", ""closure"", ""spider"", ""grassland"", ""nutrient"", ""supply"", ""urbanization"", ""nitrogen"""	0.026, 0.018, 0.012, 0.012, 0.011, 0.01, 0.01, 0.009, 0.009, 0.008
1	"""niche"", ""climatic"", ""precipitation"", ""predicted"", ""north"", ""modeling"", ""richness"", ""occurrence"", ""thuiller"", ""assemblage"""	0.049, 0.015, 0.009, 0.006, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005
2	"""leaf"", ""stand"", ""plot"", ""canopy"", ""oak"", ""herbivory"", ""height"", ""vegetation"", ""stem"", ""crown"""	0.012, 0.012, 0.01, 0.01, 0.007, 0.006, 0.006, 0.005, 0.005, 0.004
3	"""leaf"", ""plot"", ""richness"", ""grassland"", ""assembly"", ""tropical"", ""disturbance"", ""seed"", ""height"", ""sla"""	0.017, 0.008, 0.007, 0.006, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004
4	"""island"", ""bird"", ""tropical"", ""database"", ""km"", ""mountain"", ""migration"", ""protected"", ""vegetation"", ""plot"""	0.011, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004
5	"""soil"", ""root"", ""biomass"", ""nutrient"", ""cm"", ""fine"", ""diameter"", ""depth"", ""uptake"", ""epigenetic"""	0.066, 0.059, 0.013, 0.01, 0.007, 0.006, 0.006, 0.006, 0.006, 0.004
6	"""litter"", ""leaf"", ""decomposition"", ""stream"", ""mixture"", ""fungal"", ""treatment"", ""aquatic"", ""detritivore"", ""biomass"""	0.061, 0.032, 0.024, 0.013, 0.008, 0.008, 0.007, 0.006, 0.006, 0.005
7	"""bird"", ""ant"", ""insect"", ""richness"", ""land"", ""landscape"", ""soil"", ""plot"", ""vegetation"", ""cover"""	0.011, 0.01, 0.009, 0.009, 0.008, 0.006, 0.006, 0.006, 0.006, 0.005
8	"""marine"", ""foraging"", ""sea"", ""seal"", ""seabird"", ""breeding"", ""fish"", ""isotopic"", ""albatross"", ""penguin"""	0.018, 0.012, 0.012, 0.011, 0.01, 0.01, 0.009, 0.007, 0.007, 0.007
9	"""aphid"", ""herbivore"", ""insect"", ""trophic"", ""disturbance"", ""predator"", ""treatment"", ""feeding"", ""enemy"", ""body"""	0.027, 0.024, 0.014, 0.012, 0.011, 0.01, 0.009, 0.009, 0.009, 0.007
10	"""female"", ""age"", ""male"", ""breeding"", ""reproductive"", ""sex"", ""offspring"", ""psi"", ""success"", ""adult"""	0.044, 0.025, 0.022, 0.02, 0.017, 0.016, 0.011, 0.01, 0.008, 0.008
11	"""manuscrit"", ""dauteur"", ""moth"", ""metabolic"", ""gypsy"", ""allee"", ""dispersal"", ""robinet"", ""liebhold"", ""postprint"""	0.025, 0.023, 0.018, 0.014, 0.014, 0.013, 0.012, 0.012, 0.012, 0.01
12	"""bee"", ""urban"", ""pollinator"", ""pollen"", ""flower"", ""floral"", ""wild"", ""nectar"", ""urbanization"", ""flowering"""	0.052, 0.022, 0.021, 0.02, 0.016, 0.014, 0.012, 0.009, 0.009, 0.009
13	"""microbial"", ""preprint"", ""bacterial"", ""biorxiv"", ""bacteria"", ""treatment"", ""httpsdoiorg"", ""holder"", ""authorfunder"", ""posted"""	0.035, 0.025, 0.018, 0.016, 0.014, 0.009, 0.009, 0.008, 0.008, 0.008
14	"""lake"", ""mite"", ""perch"", ""dog"", ""mixotrophy"", ""host"", ""chile"", ""aquatic"", ""geneva"", ""annecy"""	0.055, 0.015, 0.011, 0.007, 0.006, 0.005, 0.005, 0.005, 0.004, 0.004
15	"""male"", ""mating"", ""sperm"", ""female"", ""success"", ""lion"", ""urban"", ""reproductive"", ""sex"", ""reserved"""	0.02, 0.017, 0.015, 0.011, 0.01, 0.01, 0.01, 0.008, 0.008, 0.005
16	"""dispersal"", ""patch"", ""seed"", ""fitness"", ""plasticity"", ""landscape"", ""owl"", ""phenotypic"", ""cell"", ""heterogeneity"""	0.077, 0.018, 0.012, 0.01, 0.01, 0.008, 0.007, 0.006, 0.005, 0.005
17	"""fly"", ""drosophila"", ""fruit"", ""host"", ""strain"", ""male"", ""yakuba"", ""generation"", ""melanogaster"", ""invicta"""	0.019, 0.015, 0.012, 0.011, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005
18	"""body"", ""age"", ""deer"", ""senescence"", ""roe"", ""gaillard"", ""mammal"", ""birth"", ""wild"", ""adult"""	0.023, 0.02, 0.019, 0.011, 0.011, 0.009, 0.008, 0.008, 0.007, 0.007
19	"""landscape"", ""crop"", ""richness"", ""agricultural"", ""weed"", ""grassland"", ""seed"", ""cover"", ""edge"", ""farming"""	0.056, 0.026, 0.015, 0.014, 0.012, 0.012, 0.012, 0.011, 0.011, 0.009
20	"""atoll"", ""island"", ""patch"", ""novelty"", ""badger"", ""service"", ""age"", ""n"", ""richness"", ""landscape"""	0.011, 0.009, 0.007, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004
21	"""library"", ""rule"", ""oa"", ""downloaded"", ""httpsonlinelibrarywileycomtermsandconditions"", ""applicable"", ""governed"", ""cochrane"", ""writing"", ""httpsorcidorg"""	0.068, 0.034, 0.033, 0.033, 0.033, 0.033, 0.033, 0.014, 0.013, 0.01
22	"""thermal"", ""body"", ""lizard"", ""day"", ""warming"", ""heat"", ""stress"", ""treatment"", ""ectotherm"", ""physiological"""	0.025, 0.018, 0.014, 0.01, 0.009, 0.009, 0.009, 0.009, 0.006, 0.006
23	"""elephant"", ""larval"", ""metacommunity"", ""colonization"", ""aegypti"", ""colonisation"", ""aedes"", ""extinction"", ""village"", ""landscape"""	0.032, 0.017, 0.014, 0.014, 0.013, 0.013, 0.009, 0.009, 0.008, 0.007
24	"""grazing"", ""seed"", ""drought"", ""fruit"", ""facilitation"", ""pmc"", ""funders"", ""vegetation"", ""europe"", ""season"""	0.018, 0.015, 0.013, 0.013, 0.012, 0.011, 0.007, 0.006, 0.006, 0.005
25	"""bat"", ""solar"", ""wind"", ""morph"", ""patch"", ""pst"", ""turbine"", ""land"", ""synchrony"", ""ground"""	0.028, 0.01, 0.009, 0.009, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006
26	"""bat"", ""alien"", ""bird"", ""cost"", ""helper"", ""egg"", ""roost"", ""monetary"", ""evans"", ""clutch"""	0.023, 0.021, 0.021, 0.019, 0.013, 0.011, 0.01, 0.007, 0.007, 0.006
27	"""marine"", ""emission"", ""edge"", ""meadow"", ""marina"", ""seagrass"", ""compound"", ""diet"", ""kelp"", ""assemblage"""	0.013, 0.011, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.006
28	"""gg"", ""synchrony"", ""flock"", ""http"", ""pond"", ""bird"", ""substrate"", ""org"", ""ggg"", ""olive"""	0.02, 0.011, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005
29	"""invasion"", ""native"", ""invasive"", ""egg"", ""female"", ""introduced"", ""reproductive"", ""success"", ""immune"", ""nonnative"""	0.045, 0.043, 0.035, 0.023, 0.023, 0.013, 0.01, 0.01, 0.009, 0.009
30	"""http"", ""org"", ""doiorg"", ""mite"", ""wolbachia"", ""genetic"", ""spider"", ""fish"", ""versus"", ""trout"""	0.083, 0.015, 0.014, 0.008, 0.008, 0.006, 0.006, 0.005, 0.005, 0.005
31	"""host"", ""parasite"", ""infection"", ""disease"", ""pathogen"", ""infected"", ""strain"", ""transmission"", ""virus"", ""virulence"""	0.063, 0.039, 0.034, 0.029, 0.021, 0.017, 0.015, 0.013, 0.012, 0.011
32	"""concentration"", ""antarctic"", ""element"", ""tannin"", ""mutation"", ""succession"", ""feather"", ""metal"", ""biol"", ""eel"""	0.01, 0.008, 0.008, 0.007, 0.006, 0.006, 0.005, 0.004, 0.004, 0.004
33	"""network"", ""association"", ""pollinator"", ""mutualistic"", ""matrix"", ""nestedness"", ""node"", ""partner"", ""pair"", ""modularity"""	0.152, 0.018, 0.014, 0.012, 0.009, 0.007, 0.007, 0.007, 0.007, 0.006
34	"""nest"", ""tit"", ""clutch"", ""bird"", ""date"", ""great"", ""breeding"", ""laying"", ""blue"", ""box"""	0.042, 0.033, 0.022, 0.021, 0.019, 0.019, 0.018, 0.016, 0.016, 0.011
35	"""genetic"", ""acoustic"", ""inbreeding"", ""heritability"", ""pedigree"", ""signal"", ""storage"", ""generation"", ""migration"", ""detection"""	0.023, 0.011, 0.011, 0.008, 0.007, 0.007, 0.005, 0.005, 0.005, 0.005
36	"""orchid"", ""bromeliad"", ""bromeliads"", ""treatment"", ""canopy"", ""tank"", ""fungal"", ""flowering"", ""mycorrhizal"", ""drought"""	0.021, 0.011, 0.01, 0.01, 0.01, 0.009, 0.009, 0.008, 0.007, 0.007
