Topic,Words,Probabilities
36,"coral, reef, colony, scenario, red, clade, symbiodinium, calcification, seawater, bacterial","0.055, 0.022, 0.02, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005"
37,"metabolic, nutrient, consumer, thermal, energy, warming, organism, energetic, biomass, stoichiometric","0.029, 0.023, 0.019, 0.012, 0.009, 0.008, 0.007, 0.007, 0.006, 0.006"
38,"functional, gradient, leaf, facilitation, intraspecific, light, richness, stress, canopy, dispersion","0.028, 0.025, 0.018, 0.012, 0.009, 0.008, 0.008, 0.008, 0.007, 0.007"
39,"host, aphid, infection, parasitoid, pathogen, parasite, disease, parasitoids, infected, enemy","0.081, 0.023, 0.02, 0.02, 0.018, 0.014, 0.014, 0.014, 0.01, 0.01"
40,"prey, predator, predation, bird, trophic, attack, diet, feeding, functional, predatorprey","0.062, 0.058, 0.03, 0.012, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005"
41,"weed, biomass, mixture, grassland, monoculture, legume, grass, seed, plot, yield","0.022, 0.022, 0.02, 0.013, 0.012, 0.012, 0.011, 0.01, 0.009, 0.009"
42,"infected, infection, wolbachia, uninfected, paramecium, parasite, leaf, mrt, treatment, lls","0.032, 0.025, 0.025, 0.02, 0.019, 0.017, 0.014, 0.013, 0.011, 0.011"
43,"crop, landscape, service, agricultural, management, pollinator, seminatural, farming, pest, production","0.053, 0.037, 0.02, 0.018, 0.013, 0.013, 0.011, 0.011, 0.011, 0.01"
44,"fire, diatom, pollen, light, patch, mass, rmr, load, energy, ice","0.029, 0.012, 0.012, 0.011, 0.01, 0.007, 0.007, 0.005, 0.005, 0.005"
45,"thermal, treatment, lizard, warming, body, heat, day, stress, summer, ectotherm","0.023, 0.015, 0.013, 0.011, 0.01, 0.01, 0.009, 0.007, 0.006, 0.006"
46,"drought, richness, productivity, climatic, warming, scenario, vegetation, gradient, europe, mountain","0.016, 0.011, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006"
47,"litter, leaf, decomposition, mass, stream, quality, mixture, light, fungal, carbon","0.107, 0.056, 0.037, 0.015, 0.015, 0.011, 0.011, 0.01, 0.008, 0.008"
48,"root, biomass, nutrient, soil, web, stability, synchrony, diameter, cycling, fine","0.055, 0.046, 0.041, 0.024, 0.012, 0.012, 0.011, 0.008, 0.008, 0.007"
49,"niche, fruit, fly, host, invasion, breadth, nutritional, category, zonata, quality","0.027, 0.02, 0.015, 0.014, 0.009, 0.009, 0.008, 0.006, 0.006, 0.006"
50,"male, female, reproductive, sperm, immune, sex, sexual, insect, pollinator, cost","0.053, 0.048, 0.016, 0.011, 0.011, 0.01, 0.009, 0.008, 0.007, 0.007"
51,"island, epigenetic, isolation, atoll, endemic, dispersal, methylation, richness, archipelago, rabbit","0.059, 0.011, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006"
52,"survival, age, breeding, probability, female, demographic, mortality, state, reproductive, class","0.038, 0.034, 0.029, 0.023, 0.018, 0.011, 0.01, 0.01, 0.009, 0.008"
53,"human, people, heritage, cultural, land, elephant, social, practice, village, wild","0.024, 0.018, 0.011, 0.01, 0.009, 0.009, 0.009, 0.008, 0.008, 0.007"
54,"owl, vole, predation, element, goshawk, prey, predator, tawny, turbine, wind","0.019, 0.014, 0.013, 0.009, 0.009, 0.007, 0.007, 0.006, 0.006, 0.006"
55,"strain, mite, orchid, treatment, radiation, versus, exposure, spider, marginal, infection","0.026, 0.014, 0.012, 0.012, 0.011, 0.009, 0.008, 0.008, 0.008, 0.008"
56,"parasite, host, mite, diet, genotype, cancer, wild, blood, disease, aquaculture","0.031, 0.024, 0.016, 0.009, 0.008, 0.007, 0.007, 0.006, 0.006, 0.006"
57,"soil, root, fungal, fungi, microbial, nitrogen, treatment, otus, sequence, substrate","0.106, 0.03, 0.026, 0.02, 0.015, 0.009, 0.009, 0.008, 0.007, 0.007"
58,"genetic, snp, gene, locus, genome, allele, dna, sequencing, generation, inbreeding","0.021, 0.021, 0.019, 0.016, 0.013, 0.009, 0.008, 0.008, 0.007, 0.007"
59,"ant, forest, colony, nest, worker, edge, queen, tree, compound, leaf","0.051, 0.025, 0.011, 0.01, 0.008, 0.007, 0.006, 0.006, 0.006, 0.006"
60,"network, strength, association, matrix, node, social, betweenness, pollinator, mutualistic, degree","0.096, 0.013, 0.011, 0.008, 0.008, 0.008, 0.007, 0.006, 0.006, 0.005"
61,"genetic, phenotypic, adaptation, genotype, gene, hybrid, garden, allele, evolutionary, fitness","0.041, 0.013, 0.01, 0.01, 0.008, 0.007, 0.006, 0.006, 0.006, 0.005"
62,"sediment, concentration, catchment, seed, stream, buffer, woody, exposure, indirect, phenological","0.014, 0.013, 0.012, 0.011, 0.01, 0.009, 0.008, 0.008, 0.007, 0.006"
63,"native, invasion, invasive, primer, introduced, alien, dna, nonnative, sequence, success","0.052, 0.03, 0.03, 0.018, 0.014, 0.012, 0.011, 0.01, 0.008, 0.008"
64,"evolutionary, competition, state, equilibrium, perturbation, extinction, equation, cycle, theory, simulation","0.011, 0.01, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005"
65,"fire, plot, depth, peat, morph, burned, exposure, sphagnum, caterpillar, peatland","0.031, 0.011, 0.009, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006"
66,"tree, forest, leaf, plot, stand, oak, canopy, insect, herbivore, height","0.061, 0.042, 0.015, 0.014, 0.01, 0.007, 0.007, 0.007, 0.006, 0.006"
67,"competition, landscape, dispersal, patch, niche, simulation, metacommunity, temporal, prediction, space","0.011, 0.01, 0.008, 0.008, 0.007, 0.006, 0.006, 0.006, 0.006, 0.005"
68,"online, library, rule, downloaded, governed, applicable, writing, supporting, colony, tree","0.055, 0.055, 0.028, 0.028, 0.027, 0.027, 0.015, 0.015, 0.013, 0.012"
69,"female, offspring, sex, male, reproductive, mating, success, egg, maternal, moth","0.058, 0.025, 0.02, 0.02, 0.018, 0.015, 0.015, 0.014, 0.012, 0.01"
