Topic	Words	Probabilities
Topic 22	('roots', 'root', 'soil', 'plants', 'mycorrhizal', 'plant', 'biomass', 'tree', 'nutrient', 'morphological')	(0.55102944, 0.44116625, 0.35309154, 0.32929063, 0.2810826, 0.265701, 0.2654405, 0.24121891, 0.23930478, 0.22179122)
Topic 23	('virulence', 'parasites', 'parasite', 'infectious', 'virulent', 'infections', 'evolutionary', 'infected', 'infection', 'strains')	(0.5672017, 0.49938166, 0.4945912, 0.43504012, 0.42115963, 0.41229317, 0.3749956, 0.37410808, 0.36807752, 0.34906954)
Topic 24	('species', 'habitat', 'abundance', 'ecoregions', 'conservation', 'monitoring', 'detection', 'observers', 'sampling', 'population')	(0.4040417, 0.3937501, 0.34980065, 0.33630073, 0.3353771, 0.333327, 0.31316853, 0.30584055, 0.29304582, 0.2799453)
Topic 25	('microbial', 'microbes', 'phototrophic', 'peatlands', 'biomass', 'peat', 'bacteria', 'biochemical', 'cyanobacteria', 'sphagnum')	(0.50078714, 0.3981492, 0.35149282, 0.33227563, 0.33142108, 0.3286013, 0.3174033, 0.31710368, 0.31053582, 0.29421642)
Topic 26	('lm', '0m7m1', 'l0', 'bm', 'uorb1', 'lv', 'm7v1r', 'uvb77', '0bo7b', 'o0')	(0.30294728, 0.30157068, 0.30030635, 0.28944468, 0.28451246, 0.27691063, 0.2712337, 0.26595616, 0.2600516, 0.2595394)
Topic 27	('75', '44', '45', '85', 'm1', '88', '87', '50', 'm2', '20')	(0.2881004, 0.282748, 0.26080543, 0.25789213, 0.25207132, 0.24502277, 0.24286512, 0.23819676, 0.23676859, 0.23578387)
Topic 28	('parasitoids', 'parasitoid', 'larvae', 'eggs', 'egg', 'parasitism', 'prey', 'temperatures', 'larval', 'temperature')	(0.539472, 0.5162851, 0.41839504, 0.40937215, 0.388006, 0.35903043, 0.3104536, 0.2757292, 0.274602, 0.255529)
Topic 29	('rodents', 'mammals', 'rodent', 'mammal', 'species', 'rattus', 'mice', 'rat', 'rats', 'rabbits')	(0.55056995, 0.54941046, 0.5274575, 0.4939244, 0.4826735, 0.41796932, 0.4175411, 0.38645303, 0.38435876, 0.38166434)
Topic 30	('trees', 'forests', 'leaves', 'herbivores', 'herbivory', 'quercus', 'forest', 'herbivore', 'tree', 'leaf')	(0.39817393, 0.37498087, 0.35611078, 0.3535009, 0.35281992, 0.3461008, 0.3455612, 0.3121351, 0.3118637, 0.30445966)
Topic 31	('flowering', 'pollination', 'plants', 'flowers', 'flower', 'floral', 'pollinators', 'pollinator', 'plant', 'crop')	(0.51344746, 0.4886173, 0.43776447, 0.42297965, 0.40803546, 0.40132803, 0.39288148, 0.36903793, 0.3548582, 0.35379398)
Topic 32	('phenotypic', 'habitats', 'populations', 'ecology', 'habitat', 'species', 'urbanization', 'evolutionary', 'urbanized', 'traits')	(0.5103589, 0.4979035, 0.49249923, 0.46608186, 0.45124704, 0.44049758, 0.423467, 0.40594536, 0.38892764, 0.3881985)
Topic 33	('habitats', 'habitat', 'eelgrass', 'predation', 'seagrass', 'fauna', 'species', 'abundance', 'benthic', 'coastal')	(0.54181385, 0.5007213, 0.46090764, 0.43741912, 0.43088245, 0.4143328, 0.39903048, 0.32968134, 0.28797734, 0.28313348)
Topic 34	('bats', 'habitats', 'habitat', 'bat', 'foraging', 'wind', 'turbines', 'hedgerows', 'renewable', 'species')	(0.4892109, 0.43849194, 0.4010648, 0.39610082, 0.33865643, 0.33328065, 0.3327613, 0.33123296, 0.29987866, 0.26502326)
Topic 35	('archipelagos', 'ecology', 'islands', 'dispersal', 'archipelago', 'ecological', 'species', 'speciation', 'island', 'atolls')	(0.48308524, 0.48244062, 0.48047423, 0.47682422, 0.4415827, 0.4304813, 0.41101983, 0.41091594, 0.38915074, 0.37841535)
Topic 36	('phytoplankton', 'ecosystem', 'nutrient', 'algae', 'plankton', 'temperatures', 'metabolic', 'nutrients', 'temperature', 'photosynthetic')	(0.5505949, 0.37055317, 0.30815095, 0.30663186, 0.29406375, 0.28900605, 0.27554417, 0.27451676, 0.274441, 0.25831914)
Topic 37	('communities', 'centrality', 'social', 'networks', 'associations', 'demographic', 'groups', 'association', 'individuals', 'among')	(0.4442523, 0.41317266, 0.39946255, 0.37211147, 0.33778724, 0.33111465, 0.30524462, 0.29076964, 0.2869146, 0.2838697)
Topic 38	('teeth', 'snakes', 'tooth', 'snake', 'dentition', 'dental', 'mammals', 'morphology', 'phylogenetic', 'beaks')	(0.5140639, 0.46615502, 0.446099, 0.43097836, 0.37705907, 0.37250462, 0.3241222, 0.30066395, 0.2994219, 0.29483908)
Topic 39	('agromyzidae', 'species', 'aphididae', 'herbivore', 'gallinae', 'phylogenetic', 'oleraceus', 'spinus', 'chloris', 'philaenus')	(0.41778925, 0.40831453, 0.40706694, 0.38013622, 0.3606139, 0.35635692, 0.32330072, 0.32193184, 0.31519896, 0.2872883)
Topic 40	('ecological', 'ecosystem', 'mpas', 'mpa', 'conservation', 'sustainable', 'marine', 'recreational', 'objectives', 'climate')	(0.5189152, 0.5115664, 0.44279176, 0.44160736, 0.38675332, 0.361939, 0.34637934, 0.32446074, 0.30896997, 0.30576104)
Topic 41	('parasitoids', 'parasitoid', 'parasitism', 'species', 'flies', 'plants', 'diptera', 'tephritidae', 'solanum', 'invasions')	(0.59113395, 0.55188847, 0.45947716, 0.44124642, 0.41693252, 0.3712174, 0.36146486, 0.34885764, 0.3384231, 0.32826638)
