Topic,Words,Probabilities
Topic -1,"ecology, species, habitat, populations, traits, plant, environmental, communities, diversity, temperature","0.513486, 0.42642, 0.413704, 0.40503883, 0.31532553, 0.28390312, 0.27768293, 0.26208997, 0.25509793, 0.25444287"
Topic 0,"populations, genetic, haplotypes, haplotype, genes, genome, species, gene, alleles, population","0.4568377, 0.45277447, 0.43148524, 0.3859442, 0.35588703, 0.33360496, 0.3242453, 0.30966255, 0.3019604, 0.27981177"
Topic 1,"dispersal, species, habitat, populations, niche, climate, phenotypic, climatic, landscapes, evolution","0.72702646, 0.432638, 0.41998377, 0.3998974, 0.3772841, 0.33953255, 0.32670224, 0.3256598, 0.3200063, 0.30419552"
Topic 2,"forests, trees, vegetation, forest, tree, ecology, climate, beech, biomass, species","0.5165813, 0.47820255, 0.4781549, 0.46338502, 0.37747884, 0.37107366, 0.31885234, 0.2947054, 0.2907179, 0.25487947"
Topic 3,"recapture, breeding, demographic, mortality, reproduction, survival, breeders, emigration, models, population","0.43396112, 0.40259457, 0.37948596, 0.37541148, 0.3368013, 0.32801363, 0.29363316, 0.2777155, 0.26656738, 0.25890183"
Topic 4,"litter, litters, ecosystem, decomposers, litterbags, biomass, species, decomposition, soil, detritivores","0.51904714, 0.49316126, 0.4391966, 0.3759949, 0.3752283, 0.3590744, 0.3442075, 0.33555394, 0.3301105, 0.3081221"
Topic 5,"ecology, ecological, scientifiques, cite, biology, scientific, doi, evolution, research, sciences","0.4697729, 0.4640845, 0.33180282, 0.238214, 0.2340989, 0.2212587, 0.21263072, 0.2117086, 0.2068856, 0.20030083"
Topic 6,"ecological, ecosystem, conservation, heritage, nature, stakeholders, cultural, land, resilience, value","0.5591246, 0.5066703, 0.4902421, 0.4374392, 0.39737368, 0.3902782, 0.38762462, 0.35134512, 0.34087634, 0.30524832"
Topic 7,"habitat, deer, hunting, prey, animals, diurnality, animal, abundance, lynx, behavioural","0.44610223, 0.39926067, 0.39648187, 0.38915113, 0.38336545, 0.3317958, 0.3161819, 0.30253205, 0.27016658, 0.22614495"
Topic 8,"ecology, biodiversity, zoology, ecosystem, ecological, forest, biological, conservation, biology, evolution","0.36556327, 0.35956973, 0.35098523, 0.3453036, 0.3418043, 0.299581, 0.28994286, 0.24507101, 0.22429103, 0.21440312"
