Topic	Words	Probabilities
Topic -1	('specie', 'plant', 'effect', 'ecology', 'model', 'community', 'population', 'data', 'diversity', 'forest')	(0.004567831747979056, 0.0039342681734337885, 0.0037751585746174203, 0.0037489361732154385, 0.003655233294852756, 0.00358090612661262, 0.003491521089557871, 0.003234586197585382, 0.003213190659445319, 0.00321198790897868)
Topic 0	('document', 'recherche', 'department', 'public', 'access', 'institute', 'open', 'montpellier', 'umr', 'universit')	(0.01109520818819512, 0.009905545437708553, 0.009566817360010462, 0.008794178943114557, 0.006966929802018274, 0.006730688825018515, 0.006582731854534787, 0.006352672088220091, 0.006275780842959137, 0.006262007602026542)
Topic 1	('lizard', 'temperature', 'thermal', 'water', 'thermoregulation', 'body', 'ectotherm', 'dupou', 'galliard', 'shelter')	(0.033104015705689965, 0.018104441385092426, 0.01792676370878645, 0.016184065396249493, 0.015282515901776135, 0.01297873526347484, 0.011413097360769071, 0.010234864639897411, 0.010009149170556678, 0.009612910926377644)
Topic 2	('probability', 'age', 'survival', 'state', 'model', 'breeding', 'parameter', 'capture', 'individual', 'class')	(0.028631566133077355, 0.02386375764270585, 0.022779430386251628, 0.01852854977035295, 0.017209786955407792, 0.016146084881101648, 0.01284482946379285, 0.0120198073433299, 0.011792378967515912, 0.010689736041593569)
Topic 3	('lion', 'cat', 'deer', 'roe', 'home', 'social', 'animal', 'encounter', 'hyaena', 'behavioural')	(0.020043628291900012, 0.015869897392306834, 0.012924290983249574, 0.011807320941857057, 0.011780391195834737, 0.011776336501489158, 0.010717500468483061, 0.009798415688135982, 0.008989789170816442, 0.00873922008455256)
Topic 4	('genetic', 'mediterranean', 'molecular', 'atlantic', 'sea', 'population', 'mitochondrial', 'haplotype', 'iberian', 'lineage')	(0.017949460497345412, 0.015333982687887092, 0.01199180756504637, 0.011831337297201122, 0.011424808622968217, 0.01075727742450684, 0.010347350506182428, 0.01027071206927863, 0.009221426934653625, 0.00892086929483655)
Topic 5	('locus', 'snp', 'allele', 'genetic', 'cluster', 'population', 'fst', 'colony', 'differentiation', 'sample')	(0.028654535680990197, 0.018844827003817094, 0.017184353583972762, 0.013371542129768488, 0.01262253227568388, 0.012417390919023571, 0.011704975544279222, 0.010378302508402038, 0.008967140912352074, 0.008847825400590318)
Topic 6	('heritage', 'people', 'cumming', 'elephant', 'cultural', 'cockle', 'resilience', 'stakeholder', 'biggs', 'nature')	(0.022544249568765655, 0.01967214646664815, 0.017490939645430137, 0.016799943124860005, 0.01578256513574365, 0.01420253768505617, 0.013558870163179838, 0.012793060516437285, 0.012252329134417666, 0.012245143287484371)
Topic 7	('phylogenetic', 'phylogeny', 'pal', 'trait', 'diversification', 'signal', 'clade', 'diversity', 'tree', 'specie')	(0.03452295334142963, 0.016653192853632395, 0.014062233213454881, 0.012351982622438962, 0.010961665561409024, 0.010821522009969565, 0.010088001835691416, 0.009358297408720125, 0.007851933674127964, 0.007636443710780112)
Topic 8	('river', 'stream', 'catchment', 'water', 'pond', 'freshwater', 'aquatic', 'datry', 'network', 'drying')	(0.025630094961758693, 0.022987961386776348, 0.01434874458796327, 0.013341234069624994, 0.012674274260229252, 0.011847430094745927, 0.00903696996869419, 0.008992892998626753, 0.008919947832134118, 0.008612652825875589)
Topic 9	('litter', 'decomposition', 'leaf', 'stream', 'detritivore', 'mixture', 'fungal', 'breakdown', 'mass', 'alder')	(0.0674855536989015, 0.0337925586131086, 0.02304634528208543, 0.01957979743959624, 0.017362370751694885, 0.014493502496939672, 0.012520534715130302, 0.01164715904137668, 0.011382566726426952, 0.010610572184974814)
Topic 10	('bird', 'migratory', 'breeding', 'migration', 'lemming', 'arctic', 'wintering', 'snow', 'climate', 'cormorant')	(0.02290603611290383, 0.01320937185494864, 0.013162110152283135, 0.011542753237889688, 0.01114473012501718, 0.010854965426752303, 0.010814586980705284, 0.010668018186195333, 0.010660140485133468, 0.010449862202893102)
Topic 11	('bee', 'pollen', 'honey', 'wild', 'floral', 'pollinator', 'nectar', 'crop', 'urban', 'plant')	(0.07966008738741796, 0.03258621032015126, 0.024426189150534194, 0.02187178786653445, 0.017981601778270625, 0.01594505078159991, 0.015608874781290787, 0.01388700185636994, 0.01165765711716854, 0.010751976929955127)
Topic 12	('fungal', 'soil', 'fungi', 'ecm', 'root', 'community', 'mycorrhizal', 'plant', 'enzymatic', 'ectomycorrhizal')	(0.040890792515082944, 0.024696012075319653, 0.021550928565421006, 0.021472179278156152, 0.019042847887831168, 0.016056059558943382, 0.01579193399091029, 0.015728474683076626, 0.01388198985868592, 0.013710281199934957)
Topic 13	('grassland', 'grazing', 'soil', 'digestibility', 'plot', 'site', 'treatment', 'plant', 'mowing', 'uptake')	(0.020654670333373357, 0.01675520506817387, 0.014272634757607901, 0.012494537649661916, 0.010988627563640383, 0.010410332507954095, 0.010296727930264619, 0.009590755479233572, 0.008797802749943146, 0.00837266401551339)
Topic 14	('temperature', 'thermal', 'warming', 'energetic', 'consumer', 'rate', 'metabolic', 'acclimation', 'sentis', 'growth')	(0.02806220803428464, 0.025820941851771605, 0.017270631169239485, 0.017195950353563964, 0.017186344429764504, 0.0157332712442687, 0.014819957390998693, 0.01219109334140426, 0.011902980165616422, 0.011727236130973045)
Topic 15	('perturbation', 'stability', 'biomass', 'variability', 'system', 'bef', 'si', 'recovery', 'ecosystem', 'scale')	(0.035293386009640916, 0.02272158368961043, 0.013866209552550789, 0.012016392589364022, 0.011404099582206464, 0.01129626942719872, 0.01044968773646171, 0.010251298660052628, 0.010238205394301989, 0.009972432925864265)
Topic 16	('aphid', 'parasitoid', 'plant', 'herbivore', 'parasitoids', 'diapause', 'cereal', 'enemy', 'persicae', 'brassicae')	(0.06214266421343539, 0.01976828134927729, 0.016935242268770422, 0.014447593953344934, 0.01443251838174863, 0.012731038708614636, 0.011752415077347738, 0.011495129953298067, 0.011111561041795242, 0.010810645015623125)
Topic 17	('morph', 'selection', 'trait', 'variance', 'phenotypic', 'genetic', 'heritability', 'omd', 'evolutionary', 'phenotype')	(0.01759944678715103, 0.01722853875010773, 0.016186712482115524, 0.015099115900586456, 0.014228165876496253, 0.013948331919346031, 0.012963714547441784, 0.010897424279541454, 0.010032363838839972, 0.010031969721412747)
Topic 18	('parasite', 'host', 'virulence', 'infected', 'infection', 'paramecium', 'dispersal', 'uninfected', 'transmission', 'prevalence')	(0.05117290123598439, 0.041631397581898925, 0.03494430559603725, 0.031059394073556658, 0.027326183719163868, 0.025985539110069646, 0.019502894132449725, 0.015863831658645525, 0.015285787990556686, 0.012694182595342702)
Topic 19	('movement', 'sensor', 'camera', 'animal', 'data', 'monitoring', 'automated', 'segment', 'video', 'biologging')	(0.02997664799786306, 0.017629319132730067, 0.015511935228026399, 0.015500307164470074, 0.01261223635564867, 0.010733058148411804, 0.010141533043958742, 0.009934139647769714, 0.009466650723168787, 0.009225139252418028)
Topic 20	('temperature', 'phytoplankton', 'nutrient', 'thermal', 'ml', 'heat', 'concentration', 'cell', 'biovolume', 'experiment')	(0.02116867338595983, 0.01933063606688467, 0.01446792503136573, 0.013268572871233038, 0.012562150759977056, 0.010874963130612363, 0.010612718886666515, 0.010419705461322013, 0.010361111125827214, 0.009419397571043504)
Topic 21	('beetle', 'ant', 'tree', 'saproxylic', 'herbivore', 'insect', 'burned', 'unburned', 'herbivory', 'oak')	(0.024686513689966084, 0.020403351514657227, 0.016645641218040796, 0.01658849561290111, 0.01651345737019211, 0.015542760054508784, 0.01513267447581923, 0.014674202512056672, 0.013120972808576065, 0.012783218697058745)
Topic 22	('bat', 'roost', 'solar', 'turbine', 'wind', 'pipistrellus', 'hedgerow', 'foraging', 'lek', 'flight')	(0.08147567853629314, 0.030110163854251096, 0.028388985426546564, 0.025045343142369423, 0.018009352113097593, 0.014459332062943872, 0.013469527511572326, 0.012967808648900495, 0.012605307596180015, 0.012343172420559621)
Topic 23	('invasion', 'invasive', 'native', 'alien', 'niche', 'europe', 'introduced', 'range', 'success', 'introduction')	(0.04279762551784918, 0.032863550481938994, 0.02031279264500421, 0.018073516558608897, 0.012565917688338752, 0.010757829921718086, 0.010711476723633786, 0.010413076372275568, 0.009175043815963315, 0.008816405449805139)
