"Topic	Words	Probabilities",,,,,,,,,,,,,,,,,,
"Topic 23	('breeding'", 'nests', 'tits', 'species', 'birds', 'predation', 'tit', 'blue', 'clutch'," 'nesting')	(0.4037994",0.38095486,0.3070651,0.30237225,0.30057436,0.2824449,0.2752423,0.24612321,0.23891118, 0.23393899)
"Topic 24	('fungi'", 'fungal', 'ecology', 'ectomycorrhizal', 'soils', 'plants', 'mycorrhizal', 'soil', 'species'," 'communities')	(0.52352834",0.4625413,0.36275944,0.34691548,0.33904344,0.33037993,0.33030176,0.32505608,0.28410658, 0.26193)
"Topic 25	('larvae'", 'larval', 'eggs', 'parasitoids', 'egg', 'parasitoid', 'drosophila', 'flies', 'parasitism'," 'reared')	(0.53224045",0.4257085,0.4034683,0.38180584,0.36344433,0.35063618,0.28862625,0.28119284,0.2160649, 0.20088932)
"Topic 26	('lm'", '0m7m1', 'l0', 'bm', 'uorb1', 'lv', 'm7v1r', 'uvb77', '0bo7b'," 'o0')	(0.30294728",0.3015707,0.30030635,0.28944468,0.28451246,0.2769106,0.2712337,0.26595622,0.2600516, 0.2595394)
"Topic 27	('trees'", 'forests', 'leaves', 'forest', 'tree', 'quercus', 'leaf', 'herbivory', 'herbivores'," 'diversity')	(0.4127614",0.37716866,0.3623702,0.34285665,0.33591017,0.31958133,0.30962718,0.29660913,0.29087046, 0.27080923)
"Topic 28	('microbial'", 'microbes', 'phototrophic', 'peatlands', 'biomass', 'peat', 'bacteria', 'biochemical', 'cyanobacteria'," 'sphagnum')	(0.50078714",0.39814922,0.35149288,0.33227566,0.3314211,0.32860136,0.3174033,0.31710368,0.31053582, 0.29421642)
"Topic 29	('bats'", 'habitats', 'habitat', 'bat', 'turbines', 'wind', 'foraging', 'hedgerows', 'renewable'," 'turbine')	(0.4673589",0.41894183,0.38154888,0.3711872,0.36101797,0.3595752,0.3393686,0.33515579,0.30015266, 0.298451)
"Topic 30	('flowering'", 'pollination', 'plants', 'flowers', 'flower', 'floral', 'pollinators', 'pollinator', 'plant'," 'crop')	(0.51344746",0.4886173,0.43776447,0.4229797,0.40803546,0.40132803,0.39288148,0.36903793,0.35485822, 0.353794)
"Topic 31	('phytoplankton'", 'ecosystem', 'nutrient', 'plankton', 'temperatures', 'metabolic', 'nutrients', 'temperature', 'photosynthetic'," 'microalgal')	(0.5505949",0.37055314,0.30815092,0.29406375,0.28900605,0.27554417,0.27451676,0.274441,0.25831914, 0.24009416)
"Topic 32	('strength'", 'm1', '75', '44', '85', 'm3', '50', 'm2', '88'," '40')	(0.30323535",0.2964009,0.28254327,0.26338625,0.24741736,0.2465626,0.240968,0.23448475,0.23212862, 0.22659028)
"Topic 33	('prey'", 'predators', 'dispersal', 'stability', 'predator', 'species', 'perturbations', 'abundances', 'abundance'," 'perturbation')	(0.41899097",0.3963883,0.39493728,0.36406505,0.3590088,0.32931533,0.32437843,0.31996047,0.3054823, 0.30434602)
"Topic 34	('longevity'", 'reproductive', 'fetus', 'birth', 'cohort', 'growth', 'lateborn', 'date', 'offspring'," 'body')	(0.32602918",0.32200447,0.31157395,0.30687207,0.26976097,0.26339126,0.2561565,0.24651262,0.2316376, 0.22614661)
"Topic 35	('immunity'", 'immune', 'reproduction', 'vaccine', 'reproductive', 'vaccination', 'antibodies', 'breeding', 'antibody'," 'vaccinated')	(0.54168594",0.5073925,0.3646217,0.33935875,0.3380206,0.3072083,0.29267633,0.29108036,0.27984744, 0.2635468)
"Topic 36	('rodents'", 'mammals', 'rodent', 'mammal', 'species', 'rodentborne', 'habitat', 'ecological', 'rattus'," 'mice')	(0.5505699",0.5494106,0.5274575,0.49392438,0.48267353,0.46871984,0.45546,0.4495486,0.41796932, 0.4175411)
"Topic 37	('ecology'", 'species', 'habitat', 'detection', 'monitoring', 'abundance', 'conspicuousness', 'counts', 'sampling'," 'counting')	(0.4517067",0.3969751,0.36522076,0.35526717,0.31475073,0.31077278,0.30446088,0.30129164,0.29895294, 0.2811944)
"Topic 38	('communities'", 'centrality', 'social', 'networks', 'associations', 'demographic', 'groups', 'association', 'individuals'," 'among')	(0.4442523",0.41317266,0.39946255,0.37211156,0.33778724,0.33111465,0.30524465,0.29076964,0.2869146, 0.2838697)
"Topic 39	('pike'", 'fishes', 'extinctions', 'extinction', 'perch', 'fish', 'predators', 'predation', 'lakes'," 'trout')	(0.53225577",0.49857843,0.49782124,0.47857437,0.4504683,0.43632203,0.43191373,0.42559582,0.42288974, 0.40187702)
"Topic 40	('biodiversity'", 'taxonomic', 'ecology', 'reefs', 'reef', 'species', 'coral', 'phylogenetic', 'ocean'," 'fish')	(0.53013957",0.49530086,0.45585287,0.44735947,0.4375525,0.4093333,0.38943467,0.38648024,0.33654794, 0.31564355)
"Topic 41	('parasitoids'", 'parasitoid', 'parasitism', 'species', 'flies', 'plants', 'tephritidae', 'solanum', 'invasions'," 'fruit')	(0.59113395",0.5518885,0.45947728,0.44124648,0.4169325,0.3712174,0.34885764,0.33842313,0.32826638, 0.3228579)
"Topic 42	('fisheries'", 'fishery', 'fishing', 'fished', 'metapopulation', 'ecosystem', 'dispersal', 'fish', 'spawning'," 'catches')	(0.6265107",0.61225706,0.47827485,0.4042833,0.40416348,0.39351925,0.38960916,0.37917244,0.32184488, 0.31405124)
"Topic 43	('phenotypic'", 'habitats', 'populations', 'ecology', 'habitat', 'species', 'urbanization', 'evolutionary', 'traits'," 'urbanisation')	(0.5103589",0.49790347,0.49249923,0.46608186,0.45124704,0.44049758,0.423467,0.4059453,0.3881985, 0.36709043)
"Topic 44	('aphids'", 'aphid', 'parasitoids', 'parasitoid', 'aphidius', 'larvae', 'parasitism', 'predators', 'herbivore'," 'species')	(0.6394013",0.6118064,0.58540374,0.53176886,0.47135633,0.43285015,0.4284443,0.3696067,0.35683286, 0.3559417)
"Topic 45	('ecological'", 'ecosystem', 'ecosystems', 'mpas', 'mpa', 'biodiversity', 'conservation', 'sustainable', 'marine'," 'recreational')	(0.5189152",0.5115664,0.48237896,0.44279176,0.44160736,0.3996659,0.38675332,0.361939,0.34637934, 0.32446074)
"Topic 46	('archipelagos'", 'ecology', 'islands', 'dispersal', 'archipelago', 'ecological', 'species', 'speciation', 'island'," 'atolls')	(0.4830851",0.48244062,0.48047423,0.47682422,0.44158268,0.4304813,0.4110198,0.41091597,0.38915074, 0.37841532)
