Topic,Words,Probabilities
Topic -1,"ecology, species, habitat, populations, traits, diversity, genetic, environmental, variation, plant","0.54376477, 0.50441456, 0.47907126, 0.47613943, 0.41949302, 0.32931858, 0.2744903, 0.2648661, 0.24517152, 0.20391475"
Topic 0,"haplotypes, genetic, genome, haplotype, populations, gene, dna, alleles, sequencing, mediterranean","0.4372608, 0.40589124, 0.39999807, 0.39891112, 0.37234113, 0.33537725, 0.31599915, 0.29470557, 0.29038388, 0.28145176"
Topic 1,"forests, forest, trees, vegetation, ecosystem, ecology, biodiversity, tree, climate, biomass","0.5510622, 0.51691544, 0.4770286, 0.46711236, 0.4595794, 0.42800087, 0.4062633, 0.37276137, 0.3210222, 0.3202044"
Topic 2,"ecology, ecological, scientifiques, evolution, biology, scientific, cite, doi, research, commons","0.47677886, 0.46480894, 0.30903554, 0.24438837, 0.22449484, 0.21424665, 0.20036498, 0.19123271, 0.18510899, 0.17488235"
Topic 3,"litter, litters, ecosystem, decomposers, decomposer, litterbags, biomass, decomposing, soil, nutrient","0.51870626, 0.48805597, 0.41970855, 0.40795517, 0.37091678, 0.35935625, 0.34801936, 0.34642476, 0.31309068, 0.30268583"
Topic 4,"breeding, recapture, reproduction, breeders, mortality, survival, recruitment, reproductive, emigration, probabilities","0.4635576, 0.4228416, 0.3697586, 0.3340577, 0.3301407, 0.3061362, 0.294316, 0.27391386, 0.26934004, 0.26637673"
Topic 5,"habitat, animals, hunting, prey, deer, animal, movements, diurnality, tracking, biologging","0.40814573, 0.38741878, 0.3436098, 0.32530928, 0.32014686, 0.31464392, 0.3122274, 0.3026556, 0.29951632, 0.28595597"
Topic 6,"ecological, diversity, niche, dispersal, species, abundance, traits, trait, coexistence, communities","0.5087658, 0.46007776, 0.4282092, 0.42430103, 0.41911227, 0.3779751, 0.3665976, 0.33557737, 0.3085098, 0.30416948"
Topic 7,"lizards, lizard, thermoregulation, reptiles, temperatures, temperature, climate, dehydration, hydroregulation, thermal","0.45010692, 0.4158754, 0.41372868, 0.40165097, 0.33313087, 0.32776302, 0.32408684, 0.30068505, 0.2869666, 0.26877883"
Topic 8,"species, ecology, biodiversity, zoology, ecosystem, ecological, evolutionary, forest, biological, conservation","0.41255873, 0.36556327, 0.35956973, 0.35098523, 0.3453036, 0.34180424, 0.33326304, 0.29958096, 0.2899429, 0.24507102"
Topic 9,"ecosystem, biomasses, biomass, nutrient, nutrients, feeding, trophic, enrichment, prey, recycling","0.5254216, 0.38025743, 0.37192523, 0.3640051, 0.3175502, 0.31238186, 0.29828402, 0.27179724, 0.26603633, 0.25453714"
Topic 10,"nests, breeding, brood, birds, species, reproductive, nesting, predation, nest, nestboxes","0.48473066, 0.4526201, 0.42766246, 0.3744218, 0.3477013, 0.3457321, 0.34005764, 0.33549684, 0.32032704, 0.29897162"
