Topic	Words	Probabilities
Topic 13	['university', 'department', 'de', 'sciences', 'institute', 'ecology', 'biology', 'of', 'france', 'research', 'centre', 'usa', 'and', 'germany', 'la']	[0.03859911895296576, 0.028085140226048147, 0.028008521264097253, 0.02119929680181563, 0.018138328309116755, 0.017572494645748272, 0.015484673808637824, 0.01490395886327923, 0.014141663947186307, 0.014134772913622745, 0.013251824458017335, 0.012576644211483435, 0.012163012718892294, 0.009747773559941424, 0.0096024110126311]
Topic 14	['coral', 'corals', 'pco2', 'ph', 'and', 'al', 'calcification', 'et', 'symbiodinium', 'in', 'algae', 'the', 'photosynthesis', 'to', 'of']	[0.03195456521809095, 0.0181438991818653, 0.013616636152843087, 0.013572664318363464, 0.013096596550189092, 0.012272095657207674, 0.012084357110665373, 0.012052287522029588, 0.012049335693049258, 0.011865692648536331, 0.011800068781140765, 0.011603665758672641, 0.01093232162872101, 0.010795245555586848, 0.01078196712171907]
Topic 15	['seed', 'germination', 'seeds', 'elevation', 'species', 'traits', 'trait', 'plant', 'dormancy', 'in', 'and', 'the', 'to', 'of', 'elevational']	[0.02869900192005424, 0.017692660170786873, 0.016585928005180443, 0.01634197290177831, 0.015186077985998915, 0.01458762105195812, 0.014482342958517974, 0.013366760004301096, 0.012721244567363125, 0.012327518368680382, 0.012064316364498217, 0.011835625719985903, 0.011655647067647535, 0.011514611301961552, 0.01132038240909591]
Topic 16	['networks', 'network', 'interaction', 'interactions', 'the', 'species', 'of', 'mutualistic', 'to', 'and', 'al', 'we', 'et', 'is', 'nestedness']	[0.03768600283896594, 0.032485097745951964, 0.020026673936769206, 0.017666471525917087, 0.015553271177543184, 0.015366103752157858, 0.01396816966871142, 0.012647320149964895, 0.011501585627580824, 0.011284110127001219, 0.01115471041850794, 0.011080583033876747, 0.010946625583243427, 0.010763529530083261, 0.010462319277734099]
Topic 17	['bee', 'bees', 'pollen', 'wild', 'honey', 'floral', 'and', 'species', 'in', 'of', 'the', 'et', 'al', 'landscape', 'to']	[0.048426109821411094, 0.03959540749245287, 0.022342036565912448, 0.022071335194187126, 0.019973417206675188, 0.013599754907851418, 0.012934784039350639, 0.012651402221222598, 0.011843453537403851, 0.011420819178141186, 0.011176373724199834, 0.01051847704203154, 0.010270497241737163, 0.010114055484890585, 0.010076479088443141]
Topic 18	['dive', 'dives', 'foraging', 'seals', 'penguins', 'prey', '13c', 'diving', '15n', 'and', 'the', 'values', 'were', 'muscle', 'during']	[0.026322278898632874, 0.02434475462066125, 0.02400655202247083, 0.022828617562839985, 0.020216278500325428, 0.016307125414989646, 0.01577643149010696, 0.0149988219877316, 0.01467624046441825, 0.012661292999534633, 0.012500452059251366, 0.012398192303512575, 0.011996883588895373, 0.011701846405290501, 0.011425527234171066]
Topic 19	['nest', 'tits', 'great', 'clutch', 'tit', 'blue', 'laying', 'size', 'density', 'date', 'nests', 'in', 'cavity', 'breeding', 'boxes']	[0.04748919000814269, 0.038938845156396555, 0.03137272159150172, 0.031032603743197468, 0.030915204703684484, 0.028643733674515948, 0.024755905983267115, 0.024582194890690436, 0.018671203995954573, 0.018242440997941246, 0.015064638544952625, 0.013901293790122001, 0.013703237945059678, 0.013557625921976468, 0.013367902299905143]
Topic 20	['mimicry', 'colour', 'wing', 'butterflies', 'mimetic', 'pattern', 'species', 'phenotype', 'of', 'the', 'convergence', 'in', 'conspicuousness', 'and', 'predators']	[0.03944941282477931, 0.028996393044553516, 0.02132436857060883, 0.01699822769520735, 0.016873714707415097, 0.016337722397058153, 0.015141231813089823, 0.01392493998174465, 0.012803831758550337, 0.0127975975846495, 0.012774044426199812, 0.012450983363762158, 0.011981348145449577, 0.01171202922866971, 0.011565226746169749]
Topic 21	['ant', 'ants', 'humile', 'invicta', 'nests', 'the', 'of', 'and', 'workers', 'records', 'in', 'species', 'nest', 'to', 'by']	[0.041909561361288115, 0.03609594790875252, 0.016739142825309417, 0.016474493616925944, 0.014510913800127884, 0.013408014452223949, 0.012733726962119525, 0.012529961018290776, 0.011849018918139012, 0.011345398071341538, 0.011113076939123069, 0.010821715320807716, 0.009728302711196062, 0.009444919445065026, 0.009393896867933332]
Topic 22	['host', 'parasite', 'virulence', 'parasites', 'infected', 'hosts', 'transmission', 'dispersal', 'infection', 'paramecium', 'the', 'is', 'that', 'of', 'infections']	[0.02914126422412256, 0.02787211525399654, 0.02610352617969998, 0.024875978382330282, 0.02117471958218422, 0.02045608605692351, 0.01885907238469899, 0.017436354493978148, 0.015938211330458515, 0.01494346816512629, 0.013469464440297835, 0.013449342139109552, 0.013125598750784223, 0.01225750413724141, 0.01191622933293336]
Topic 23	['root', 'roots', 'soil', 'fineroot', 'excl', 'fine', 'diameter', 'traits', 'srl', 'absorptive', 'al', 'plant', 'et', 'and', 'species']	[0.07811263976639675, 0.039278954085209455, 0.027315351601300438, 0.020001349988148655, 0.019945841374873676, 0.019668025274032854, 0.01895169658769738, 0.017194565480242847, 0.01706712833654384, 0.015468992024341157, 0.014721387249451455, 0.014365991190445711, 0.014351304843218707, 0.01317447697825299, 0.012841133804372]
Topic 24	['https', 'orcid', 'data', 'manuscript', 'statement', 'authors', 'interest', 'conflict', 'available', 'dryad', 'repository', 'the', 'and', 'availability', 'research']	[0.07511609421776369, 0.0341282441373324, 0.03178682512652377, 0.023368363556848, 0.023176677711902394, 0.021285901918867887, 0.021030398757425108, 0.01868081492397031, 0.018433371266084783, 0.014851075181916194, 0.014842566787191721, 0.014792654868601887, 0.014259401498063056, 0.013234408512807662, 0.013185547808727932]
