,node,source,fa_score,la_score,size,abs_fa_score,abs_la_score,feature_name
39,"('GBIF:74', 'Sipuncula')",phylum,-1,1,1,1,1,"phylum_tuple_Count_('GBIF:74', 'Sipuncula')"
40,"('GBIF:10813635', 'Actinobacteriota')",phylum,-0.5,-1,1,0.5,1,"phylum_tuple_Count_('GBIF:10813635', 'Actinobacteriota')"
41,"('GBIF:216', 'Insecta')",class,0.006666667,-0.44,150,0.006666667,0.44,"class_tuple_Count_('GBIF:216', 'Insecta')"
42,"('GBIF:206', 'Anthozoa')",class,-0.25,-0.375,8,0.25,0.375,"class_tuple_Count_('GBIF:206', 'Anthozoa')"
43,"('GBIF:225', 'Gastropoda')",class,0.090909091,-0.545454545,11,0.090909091,0.5454545454545454,"class_tuple_Count_('GBIF:225', 'Gastropoda')"
44,"('GBIF:212', 'Aves')",class,-0.333333333,-0.519047619,105,0.3333333333333333,0.5190476190476191,"class_tuple_Count_('GBIF:212', 'Aves')"
45,"('GBIF:359', 'Mammalia')",class,-0.016806723,-0.420168067,119,0.016806723,0.42016806722689076,"class_tuple_Count_('GBIF:359', 'Mammalia')"
46,"('GBIF:220', 'Magnoliopsida')",class,-0.069343066,-0.350364964,274,0.069343066,0.35036496350364965,"class_tuple_Count_('GBIF:220', 'Magnoliopsida')"
47,"('GBIF:196', 'Liliopsida')",class,0.047169811,-0.363207547,106,0.047169811,0.3632075471698113,"class_tuple_Count_('GBIF:196', 'Liliopsida')"
48,"('GBIF:11592253', 'Squamata')",class,-0.416666667,-0.333333333,18,0.4166666666666667,0.3333333333333333,"class_tuple_Count_('GBIF:11592253', 'Squamata')"
49,"('GBIF:194', 'Pinopsida')",class,-0.115942029,-0.260869565,69,0.11594202898550725,0.2608695652173913,"class_tuple_Count_('GBIF:194', 'Pinopsida')"
50,"('GBIF:186', 'Agaricomycetes')",class,-0.333333333,-0.333333333,3,0.3333333333333333,0.3333333333333333,"class_tuple_Count_('GBIF:186', 'Agaricomycetes')"
51,"('GBIF:131', 'Amphibia')",class,-0.458333333,-0.166666667,12,0.4583333333333333,0.16666666666666666,"class_tuple_Count_('GBIF:131', 'Amphibia')"
52,"('GBIF:367', 'Arachnida')",class,0.1,-0.3625,40,0.1,0.3625,"class_tuple_Count_('GBIF:367', 'Arachnida')"
53,"('GBIF:229', 'Malacostraca')",class,-0.366666667,-0.933333333,15,0.36666666666666664,0.9333333333333333,"class_tuple_Count_('GBIF:229', 'Malacostraca')"
54,"('GBIF:254', 'Palaeacanthocephala')",class,-1,-1,1,1,1,"class_tuple_Count_('GBIF:254', 'Palaeacanthocephala')"
55,"('GBIF:345', 'Trematoda')",class,-0.25,-1,2,0.25,1,"class_tuple_Count_('GBIF:345', 'Trematoda')"
56,"('GBIF:7947184', 'Bacillariophyceae')",class,-0.214285714,-0.428571429,7,0.21428571428571427,0.42857142857142855,"class_tuple_Count_('GBIF:7947184', 'Bacillariophyceae')"
57,"('GBIF:197', 'Alphaproteobacteria')",class,0.5,-0.5,4,0.5,0.5,"class_tuple_Count_('GBIF:197', 'Alphaproteobacteria')"
58,"('GBIF:11418114', 'Testudines')",class,-0.5,-0.5,4,0.5,0.5,"class_tuple_Count_('GBIF:11418114', 'Testudines')"
59,"('GBIF:8006472', 'Oligohymenophorea')",class,0.14285714285714285,-0.714285714,7,0.14285714285714285,0.7142857142857143,"class_tuple_Count_('GBIF:8006472', 'Oligohymenophorea')"
60,"('GBIF:270', 'Pucciniomycetes')",class,-1,0,2,1,0,"class_tuple_Count_('GBIF:270', 'Pucciniomycetes')"
61,"('GBIF:11493978', 'Crocodylia')",class,-1,1,1,1,1,"class_tuple_Count_('GBIF:11493978', 'Crocodylia')"
62,"('GBIF:11133537', 'Chromadorea')",class,-0.125,-0.375,4,0.125,0.375,"class_tuple_Count_('GBIF:11133537', 'Chromadorea')"
63,"('GBIF:137', 'Bivalvia')",class,-0.5,0,4,0.5,0,"class_tuple_Count_('GBIF:137', 'Bivalvia')"
64,"('GBIF:121', 'Elasmobranchii')",class,0.2727272727272727,-0.181818182,11,0.2727272727272727,0.18181818181818182,"class_tuple_Count_('GBIF:121', 'Elasmobranchii')"
65,"('GBIF:282', 'Gnetopsida')",class,1,1,1,1,1,"class_tuple_Count_('GBIF:282', 'Gnetopsida')"
66,"('GBIF:178', 'Eurotiomycetes')",class,0,-1,2,0,1,"class_tuple_Count_('GBIF:178', 'Eurotiomycetes')"
67,"('GBIF:320', 'Sordariomycetes')",class,0,-1,2,0,1,"class_tuple_Count_('GBIF:320', 'Sordariomycetes')"
68,"('GBIF:281', 'Branchiopoda')",class,-0.25,-0.25,8,0.25,0.25,"class_tuple_Count_('GBIF:281', 'Branchiopoda')"
69,"('GBIF:11545536', 'Copepoda')",class,-1,0,3,1,0,"class_tuple_Count_('GBIF:11545536', 'Copepoda')"
70,"('GBIF:179', 'Leotiomycetes')",class,-0.25,-0.625,8,0.25,0.625,"class_tuple_Count_('GBIF:179', 'Leotiomycetes')"
71,"('GBIF:8179345', 'Peronosporea')",class,-1,0,2,1,0,"class_tuple_Count_('GBIF:8179345', 'Peronosporea')"
72,"('GBIF:303', 'Bacilli')",class,-0.75,-0.3125,8,0.75,0.3125,"class_tuple_Count_('GBIF:303', 'Bacilli')"
73,"('GBIF:7391750', 'Euglenoidea')",class,-1,-1,1,1,1,"class_tuple_Count_('GBIF:7391750', 'Euglenoidea')"
74,"('GBIF:7434778', 'Globothalamea')",class,1,0,1,1,0,"class_tuple_Count_('GBIF:7434778', 'Globothalamea')"
75,"('GBIF:362', 'Gammaproteobacteria')",class,0.42857142857142855,-0.714285714,7,0.42857142857142855,0.7142857142857143,"class_tuple_Count_('GBIF:362', 'Gammaproteobacteria')"
76,"('GBIF:329', 'Chlorophyceae')",class,-0.125,-0.5,4,0.125,0.5,"class_tuple_Count_('GBIF:329', 'Chlorophyceae')"
