Node,Size,First Author Score,Team Score,Last Author Score
"('GBIF:5386', 'Fabaceae')",114,-0.008771929824561403,-0.23827534491188934,-0.27631578947368424
"('GBIF:4689', 'Fagaceae')",108,-0.08333333333333333,-0.3114572015003475,-0.3333333333333333
"('GBIF:3065', 'Asteraceae')",104,-0.052884615384615384,-0.2496340821419192,-0.3798076923076923
"('GBIF:3925', 'Pinaceae')",100,-0.11,-0.322437799382272,-0.325
"('GBIF:3073', 'Poaceae')",84,0.07738095238095238,-0.23515195805836203,-0.36904761904761907
"('GBIF:3112', 'Brassicaceae')",84,-0.02976190476190476,-0.21664387061892973,-0.31547619047619047
"('GBIF:8615', 'Salmonidae')",82,-0.018292682926829267,-0.26898459034247885,-0.38414634146341464
"('GBIF:9327', 'Paridae')",69,-0.06521739130434782,-0.32092221257924497,-0.42028985507246375
"('GBIF:5015', 'Rosaceae')",63,0.05555555555555555,-0.3581555235496123,-0.4523809523809524
"('GBIF:5298', 'Cervidae')",62,-0.024193548387096774,-0.30250715436660225,-0.5483870967741935
