Node,Avg_weight_end_point_degree,First Author Score,Team Score,Last Author Score
B65,55.25,0.2,-0.2,-0.6
B62,53.92857142857143,0.2,-0.30522875816993467,0.1
B26,53.333333333333336,-0.5,-0.5520310357072884,-0.5
B21,52.698113207547166,-0.14285714285714285,-0.27515976087404653,-0.30952380952380953
B9,52.53125,0.2261904761904762,-0.10927902568216587,-0.4523809523809524
B48,52.5,-1.0,-0.8518518518518517,-1.0
B50,52.42857142857143,0.0,-0.2648809523809524,0.0
B18,52.35897435897436,-0.3611111111111111,-0.5154751883918549,-0.7777777777777778
B52,51.97142857142857,-0.45454545454545453,-0.2833445968869166,-0.2727272727272727
B58,51.5,0.0,-0.4229497354497354,-0.5
