Node,Avg_weight_end_point_degree,First Author Score,Team Score,Last Author Score
"('GBIF:2877951', 'Quercus')",270430.0,-0.017045454545454544,-0.29748562885853747,-0.3806818181818182
"('GBIF:2684241', 'Pinus')",192122.0,0.013888888888888888,-0.2874739718796091,-0.3263888888888889
"('GBIF:2874875', 'Fagus')",175682.0,-0.14130434782608695,-0.3839861652174247,-0.3695652173913043
"('GBIF:7606064', 'Picea')",160426.0,-0.1,-0.3858259442082972,-0.45555555555555555
"('GBIF:3112554', 'Cirsium')",154612.0,0.6333333333333333,-0.19136724386724382,-0.6
"('GBIF:2704173', 'Poa')",152788.0,0.23809523809523808,-0.09506802721088435,-0.09523809523809523
"('GBIF:2875008', 'Betula')",142626.0,0.18421052631578946,-0.4120244049036619,-0.631578947368421
"('GBIF:3189834', 'Acer')",141454.0,0.05555555555555555,-0.31300810726098083,-0.3333333333333333
"('GBIF:11397237', 'Euphorbia')",134868.0,0.125,-0.1683429621848739,-0.1875
"('GBIF:3020559', 'Prunus')",134526.0,0.018518518518518517,-0.37505871097825116,-0.42592592592592593
