Node,Avg_weight_end_point_degree,First Author Score,Team Score,Last Author Score
"('GBIF:1370', 'Fabales')",63144.0,0.06470588235294118,-0.20223124777502707,-0.24705882352941178
"('GBIF:1369', 'Poales')",57996.0,0.10215053763440861,-0.26720189031090036,-0.34946236559139787
"('GBIF:414', 'Asterales')",56294.0,-0.03205128205128205,-0.2606114535974684,-0.4423076923076923
"('GBIF:691', 'Rosales')",56126.0,0.09740259740259741,-0.30962765696117034,-0.35064935064935066
"('GBIF:1354', 'Fagales')",55868.0,-0.05,-0.3178023490489468,-0.36
"('GBIF:408', 'Lamiales')",55580.0,0.13194444444444445,-0.23761466622458005,-0.3888888888888889
"('GBIF:640', 'Pinales')",49404.0,0.02247191011235955,-0.30879849047767316,-0.33146067415730335
"('GBIF:1457', 'Hymenoptera')",48406.0,0.09411764705882353,-0.19952574963468836,-0.5411764705882353
"('GBIF:7225535', 'Brassicales')",45712.0,0.1721311475409836,-0.13723149399619988,-0.20491803278688525
"('GBIF:1414', 'Malpighiales')",45000.0,0.23469387755102042,-0.19211100557439093,-0.25510204081632654
