Node,Closeness_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:5386', 'Fabaceae')",0.5854647199577084,-0.008771929824561403,-0.23827534491188934,-0.27631578947368424
"('GBIF:3065', 'Asteraceae')",0.5803380586621069,-0.052884615384615384,-0.2496340821419192,-0.3798076923076923
"('GBIF:8615', 'Salmonidae')",0.5803380586621069,-0.018292682926829267,-0.26898459034247885,-0.38414634146341464
"('GBIF:7336', 'Cyprinidae')",0.5677436290623581,0.1,-0.25138235501871864,-0.44545454545454544
"('GBIF:5483', 'Hominidae')",0.5529027221847548,0.18085106382978725,-0.14745046875644693,-0.19148936170212766
"('GBIF:3112', 'Brassicaceae')",0.5510637996054263,-0.02976190476190476,-0.21664387061892973,-0.31547619047619047
"('GBIF:3925', 'Pinaceae')",0.5504535406911346,-0.11,-0.322437799382272,-0.325
"('GBIF:7332', 'Clupeidae')",0.547724019001757,0.06976744186046512,-0.3278218707248378,-0.5116279069767442
"('GBIF:4691', 'Euphorbiaceae')",0.5465195681628308,0.21621621621621623,-0.21991549565078977,-0.36486486486486486
"('GBIF:3073', 'Poaceae')",0.5447227915003775,0.07738095238095238,-0.23515195805836203,-0.36904761904761907
