Node,Closeness_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:587', 'Perciformes')",0.6378669413362049,0.07425742574257425,-0.2350103691262536,-0.48514851485148514
"('GBIF:798', 'Primates')",0.6120485175202156,0.17592592592592593,-0.14727293248369125,-0.37962962962962965
"('GBIF:1313', 'Salmoniformes')",0.6006083583142303,-0.007936507936507936,-0.2832764912343779,-0.373015873015873
"('GBIF:1354', 'Fagales')",0.5763685590997547,-0.05,-0.3178023490489468,-0.36
"('GBIF:731', 'Artiodactyla')",0.5763685590997547,0.1962025316455696,-0.273638706350748,-0.5506329113924051
"('GBIF:1370', 'Fabales')",0.5750791439787262,0.06470588235294118,-0.20223124777502707,-0.24705882352941178
"('GBIF:538', 'Clupeiformes')",0.5750791439787262,0.1,-0.3232517649974546,-0.55
"('GBIF:1457', 'Hymenoptera')",0.5737954851752022,0.09411764705882353,-0.19952574963468836,-0.5411764705882353
"('GBIF:640', 'Pinales')",0.5737954851752022,0.02247191011235955,-0.30879849047767316,-0.33146067415730335
"('GBIF:729', 'Passeriformes')",0.5712452830188679,-0.1631578947368421,-0.3778688465986912,-0.4789473684210526
