Node,Size,First Author Score,Team Score,Last Author Score
"('GBIF:587', 'Perciformes')",101,0.07425742574257425,-0.2350103691262536,-0.48514851485148514
"('GBIF:1354', 'Fagales')",100,-0.05,-0.3178023490489468,-0.36
"('GBIF:729', 'Passeriformes')",95,-0.1631578947368421,-0.3778688465986912,-0.4789473684210526
"('GBIF:1369', 'Poales')",93,0.10215053763440861,-0.26720189031090036,-0.34946236559139787
"('GBIF:640', 'Pinales')",89,0.02247191011235955,-0.30879849047767316,-0.33146067415730335
"('GBIF:1457', 'Hymenoptera')",85,0.09411764705882353,-0.19952574963468836,-0.5411764705882353
"('GBIF:1370', 'Fabales')",85,0.06470588235294118,-0.20223124777502707,-0.24705882352941178
"('GBIF:731', 'Artiodactyla')",79,0.1962025316455696,-0.273638706350748,-0.5506329113924051
"('GBIF:414', 'Asterales')",78,-0.03205128205128205,-0.2606114535974684,-0.4423076923076923
"('GBIF:691', 'Rosales')",77,0.09740259740259741,-0.30962765696117034,-0.35064935064935066
