Node,Avg_weight_end_point_degree,First Author Score,Team Score,Last Author Score
"('GBIF:5386', 'Fabaceae')",244308.0,-0.008771929824561403,-0.23827534491188934,-0.27631578947368424
"('GBIF:3065', 'Asteraceae')",229756.0,-0.052884615384615384,-0.2496340821419192,-0.3798076923076923
"('GBIF:4689', 'Fagaceae')",206648.0,-0.08333333333333333,-0.3114572015003475,-0.3333333333333333
"('GBIF:3073', 'Poaceae')",189656.0,0.07738095238095238,-0.23515195805836203,-0.36904761904761907
"('GBIF:3112', 'Brassicaceae')",187768.0,-0.02976190476190476,-0.21664387061892973,-0.31547619047619047
"('GBIF:3925', 'Pinaceae')",180126.0,-0.11,-0.322437799382272,-0.325
"('GBIF:5015', 'Rosaceae')",173878.0,0.05555555555555555,-0.3581555235496123,-0.4523809523809524
"('GBIF:8615', 'Salmonidae')",122020.0,-0.018292682926829267,-0.26898459034247885,-0.38414634146341464
"('GBIF:4691', 'Euphorbiaceae')",113962.0,0.21621621621621623,-0.21991549565078977,-0.36486486486486486
"('GBIF:5298', 'Cervidae')",109760.0,-0.024193548387096774,-0.30250715436660225,-0.5483870967741935
