Node,Betweenness_centrality,First Author Score,Team Score,Last Author Score
B-1,0.13392222073217544,-0.12416481069042316,-0.3174386930335687,-0.4526726057906459
B11,0.10370077551073022,-0.09401709401709402,-0.2593017784272297,-0.3141025641025641
B5,0.10044236725232196,-0.22096317280453256,-0.32695590874506764,-0.43059490084985835
B14,0.06563649481070297,-0.11538461538461539,-0.276506446498328,-0.34023668639053256
B1,0.054608363588207275,-0.3233333333333333,-0.31257682436068274,-0.4
B0,0.03555017152507897,0.14634146341463414,-0.17885327679452484,-0.22865853658536586
B32,0.03152071095715687,0.17692307692307693,-0.28086836215569244,-0.3153846153846154
B3,0.02900737579984804,-0.25,-0.3704884524982395,-0.4573170731707317
B4,0.019514911517173966,0.0125,-0.4263915251415251,-0.70625
B55,0.016409103184092902,0.05714285714285714,-0.3016863989185418,-0.5285714285714286
