Node,Size,First Author Score,Team Score,Last Author Score
"('GBIF:220', 'Magnoliopsida')",274,-0.06934306569343066,-0.2749163290586222,-0.35036496350364965
"('GBIF:216', 'Insecta')",150,0.006666666666666667,-0.24959295646624494,-0.44
"('GBIF:359', 'Mammalia')",119,-0.01680672268907563,-0.3293290974995704,-0.42016806722689076
"('GBIF:196', 'Liliopsida')",106,0.04716981132075472,-0.2617818190291663,-0.3632075471698113
"('GBIF:212', 'Aves')",105,-0.3333333333333333,-0.452367878544224,-0.5190476190476191
"('GBIF:194', 'Pinopsida')",69,-0.11594202898550725,-0.3175822839186011,-0.2608695652173913
"('GBIF:367', 'Arachnida')",40,0.1,-0.22376957968502084,-0.3625
"('GBIF:11592253', 'Squamata')",18,-0.4166666666666667,-0.22186397480515127,-0.3333333333333333
"('GBIF:229', 'Malacostraca')",15,-0.36666666666666664,-0.5778463203463204,-0.9333333333333333
"('GBIF:131', 'Amphibia')",12,-0.4583333333333333,-0.36026069518716586,-0.16666666666666666
